loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
ALMP001	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109770	185010	2	1	1	1	4	601	1.44	13.9	14	2004	2006	3	3	4	2	14.68	2.37	0.3
ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	2	1	1	1	4	601	1.05	13.42	14	2004	2008	5	3	4	2	13.8	1.58	0.3
ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	2	1	1	1	4	601	0.7	17.63	14	2004	2008	5	3	4	2	18.33	1.55	0.3
ASBP003	ASB	Asbeek	238036	179497	2	1	1	1	3	1010	0.95	75.391	13	2008	2018	11	3	3	1	75.931	1.64	0.3
BEBP012	BEB	Bellebeek	133244	174908	2	1	1	1	3	505	1.7	13.91	13	2001	2001	1	3	7	7	13.91	2.2	1
BEBP013	BEB	Bellebeek	133268	174873	2	1	1	1	3	505	0.94	13.21	13	2001	2001	1	3	4	2	13.9	1.78	0.3
BELP001	BEL	de Belv̩d̬re	28357	199975	2	1	1	1	4	177	1.85	4.371	14	2000	2016	7	3	3	1	5.341	2.97	0.3
BRAP009	BRA	Bos van Ranst	165408	210432	2	1	1	1	4	918	0.61	9.24	14	2001	2001	1	3	5	4	9.93	1.9	1.2
BRAP102	BRA	Bos van Ranst	163992	210550	2	1	1	1	4	918	1.525	9.17	14	2001	2001	1	3	4	2	9.62	2.25	0.55
BTRP001	BTR	Bos ter Rijst	101924	164018	2	1	1	1	4	25	2.02	68.02	14	2003	2003	1	2	4	2	68.17	2.32	0.3
BUCP010	BUC	Buckenslinde	229690	170679	2	1	1	1	3	818	1.33	0	13	2003	2003	1	2	4	2	0.57	3.8	3.8
COOP001	COO	Coolhembos	146113	196127	2	1	1	1	1	233	1.25	1.96	11	2006	2015	8	2	3	1	2.56	2	0.3
DORP016	DOR	Dorent	158521	186074	2	1	1	1	3	790	1.81	7.35	13	2005	2005	1	3	4	2	8.07	2.68	0.3
DORP024	DOR	Dorent	154823	182431	2	1	1	1	4	710	2.56	9.8	14	2005	2019	6	3	1	6	10.17	3.08	0.3
DPBP007	DPB	Diepenbeek	221649	179772	2	1	1	1	2	306	2.01	-0.55	12	NA	NA	0	2	3	1	0	2.76	0.4
DUNP010	DUN	Dunbergbroek	178354	180655	2	1	1	1	4	134	1.81	15.714	14	2004	2017	7	3	3	1	16.054	2.4	0.5
DUNP011	DUN	Dunbergbroek	178562	180199	2	1	1	1	4	134	1.82	16.05	14	2007	2017	5	3	3	1	16.54	2.31	0
DUNP012	DUN	Dunbergbroek	178707	179625	2	1	1	1	4	134	1.53	18.29	14	2004	2013	6	3	3	1	19.08	2.32	0
DYLP029	DYL	Dijlevallei	169238	167404	2	1	1	1	2	262	1.29	27	12	2004	2018	7	3	3	1	27.42	1.86	0.3
DYLP037	DYL	Dijlevallei	169802	167510	2	1	1	1	4	582	0.97	27.99	14	2004	2019	13	3	3	1	28.42	1.55	0.3
DYLP109	DYL	Dijlevallei	169049	168137	2	1	1	1	4	262	2.82	27.66	14	2004	2019	9	3	3	1	28.13	3.44	0.3
DYLP156	DYL	Dijlevallei	169478	166091	2	1	1	1	3	262	1.84	28.092	13	2016	2019	4	3	3	1	28.432	2.33	0.3
GOBP004	GOB	Gorenbroek	201885	184397	2	1	1	1	2	166	2.11	20.0131	12	2014	2018	5	3	3	1	20.4131	2.66	0.3
GSCP068	GSC	Groot Schietveld	165075	228761	2	1	1	1	3	478	0.68	20.455	13	2018	2018	1	3	3	1	21.205	1.67	0.48
GSCP168	GSC	Groot Schietveld	165075	228761	2	1	1	1	3	478	2.44	20.495	13	2018	2018	1	3	3	1	21.085	3.26	0.46
HAGP019	HAG	Hageven	224064	217725	2	1	1	1	2	274	1.811	34.401	12	2002	2015	14	3	4	2	34.611	2.271	0.5
HAGP023	HAG	Hageven	222955	217220	2	1	1	1	3	274	1.87	35.77	13	2002	2015	14	3	4	2	36.08	2.33	0.3
HAGP038	HAG	Hageven	223537	217590	2	1	1	1	3	274	1.106	34.386	13	2002	2015	12	3	4	2	34.536	1.506	0.5
HAGP100	HAG	Hageven	222955	217220	2	1	1	1	3	274	1.566	35.668	13	2008	2018	10	3	3	1	35.852	1.9	0.3
HAGP101	HAG	Hageven	223787	217925	2	1	1	1	3	274	1.48	34.023	13	2008	2018	10	3	3	1	34.243	1.85	0.3
HALP002	HAL	Hallerbos	143429	155341	2	1	1	1	4	185	1.62	74.36	14	2008	2015	8	3	3	1	74.74	2.15	0.3
HALP005	HAL	Hallerbos	144281	156162	2	1	1	1	4	185	1.81	68.573	14	2008	2018	7	3	3	1	68.673	2.06	0.3
HBTP007	HBT	Helderbeekvallei Terril	212986	193133	2	1	1	1	3	694	1.75	33.026	13	2011	2014	2	3	3	1	33.586	2.46	0.3
HBTP008	HBT	Helderbeekvallei Terril	212972	193185	2	1	1	1	3	694	1.91	32.878	13	2011	2014	2	3	3	1	33.378	2.56	0.3
HOSP025	HOS	Houtsaegerduinen/oosthoek	26022	200670	2	1	1	1	4	177	2.03	5.72	14	2011	2018	6	3	3	1	6.3	2.86	0.5
KALP022	KAL	Kalmthoutse heide	155356	230811	2	1	1	1	3	734	0.82	23.47	13	2014	2018	5	3	3	1	23.29	1.14	1
KALP136	KAL	Kalmthoutse heide	154423	234049	2	1	1	1	3	734	1.01	17.174	13	2011	2015	5	3	3	1	18.514	2.53	0.36
KALP137	KAL	Kalmthoutse heide	154350	234337	2	1	1	1	3	734	1.42	17.08	13	2011	2015	5	3	3	1	17.91	2.43	0.36
KALP252	KAL	Kalmthoutse heide	153253	233640	2	1	1	1	3	734	1.28	21.503	13	2014	2018	5	3	3	1	21.383	1.66	1
KASP003	KAS	Kastanjebos	168266	178321	2	1	1	1	4	198	2.04	21.99	14	2012	2017	5	3	1	6	22.35	2.55	0.3
KBRP040	KBR	Polders van Kruibeke	146391	203727	2	1	1	1	2	297	1.54	1.731	12	2004	2014	9	3	3	1	2.311	2.37	0.5
KBRP056	KBR	Polders van Kruibeke	145855	202674	2	1	1	1	2	297	1.53	1.574	12	2001	2014	11	3	4	2	2.394	2.6	0.5
KBRP060	KBR	Polders van Kruibeke	145448	202168	2	1	1	1	2	233	1.89	1.693	12	2001	2012	11	2	3	1	2.233	2.68	0.5
KEVP015	KEV	De Kevie	229074	163350	2	1	1	1	3	114	2.2	86.13	13	2001	2001	1	2	4	2	86.84	2.91	0
KSVP003	KSV	Klein Schietveld	158484	228503	2	1	1	1	3	734	0.6	26.49	13	2017	2017	1	3	3	1	27.15	1.41	0.3
LDOP035	LDO	Langdonken	185221	191291	2	1	1	1	1	342	1.77	14.02	11	2005	2017	10	3	3	1	14.57	2.47	0.3
LDOP041	LDO	Langdonken	186424	191178	2	1	1	1	3	310	2.47	14.544	13	2005	2017	11	3	2	5	14.604	2.68	0.3
LDOP042	LDO	Langdonken	184750	191415	2	1	1	1	1	342	2.51	14.16	11	2007	2017	7	3	3	1	14.16	2.66	0.3
LEUP004	LEU	De Leunen	200745	186600	2	1	1	1	3	54	1.025	-0.74	13	2018	2019	2	3	3	1	0	1.91	0.29
LEUP010	LEU	De Leunen	201430	186360	2	1	1	1	3	54	1.215	-0.71	13	2018	2019	2	3	3	1	0	2.07	0.29
LEUP011	LEU	De Leunen	201460	186300	2	1	1	1	3	54	0.855	-0.86	13	2018	2019	2	3	3	1	0	1.86	0.29
LEUP101	LEU	De Leunen	201320	185975	2	1	1	1	3	54	1.28	20.09	13	2019	2019	1	3	4	2	20.32	1.66	0.3
LOHP009	LOH	Lovenhoek	175532	213189	2	1	1	1	4	214	0.6	10.746	14	2013	2017	4	3	3	1	11.646	2.5	2
LOHP012	LOH	Lovenhoek	175820	212049	2	1	1	1	4	214	0.77	11.203	14	2013	2017	4	3	3	1	11.923	2.49	2
LOHP015	LOH	Lovenhoek	175526	211989	2	1	1	1	4	214	0.69	10.712	14	2013	2017	4	3	3	1	11.572	2.55	2
LOHP017	LOH	Lovenhoek	175233	213318	2	1	1	1	4	214	0.91	10.265	14	2014	2017	3	3	3	1	10.905	2.55	2
MANP029	MAN	Mangelbeekvallei	220497	193374	2	1	1	1	1	722	1.06	55.418	11	2008	2018	8	3	3	1	55.868	1.76	0.5
MATP003	MAT	De Maten	224779	181757	2	1	1	1	1	306	0.88	41.97	11	2011	2019	8	3	3	1	42.28	1.44	0.5
MATP004	MAT	De Maten	225098	182066	2	1	1	1	3	306	1.77	44.05	13	2011	2015	5	3	3	1	44.41	2.38	0.5
MATP005	MAT	De Maten	226220	183183	2	1	1	1	3	306	1.9	49.4	13	2011	2019	7	3	3	1	49.74	2.49	0.5
MATP006	MAT	De Maten	226190	183227	2	1	1	1	3	306	1.64	49.23	13	2011	2017	7	3	3	1	49.65	2.31	0.5
MATP010	MAT	De Maten	225128	182769	2	1	1	1	1	306	1.97	46.29	11	2012	2019	8	3	3	1	46.64	2.57	0.5
MATP011	MAT	De Maten	225382	182289	2	1	1	1	3	306	1.04	44.92	13	2012	2019	8	3	3	1	45.34	1.71	0.5
MATP013	MAT	De Maten	226425	182603	2	1	1	1	1	306	0.83	47.59	11	2012	2018	7	3	3	1	48.02	1.51	0.5
MATP014	MAT	De Maten	226291	182944	2	1	1	1	3	306	1.23	48.72	13	2012	2018	7	3	3	1	49.05	1.81	0.5
MATP015	MAT	De Maten	226040	183424	2	1	1	1	1	306	0.63	49.24	11	2012	2019	8	3	3	1	49.66	1.3	0.5
MATP017	MAT	De Maten	226823	183586	2	1	1	1	3	306	0.85	50.921	13	2012	2019	8	3	3	1	51.431	1.61	0.5
MOLP018	MOL	Molenbeekvallei	167135	177145	2	1	1	1	4	454	1.34	25.3	14	2000	2013	10	3	3	1	25.82	2.01	0.3
MOLP022	MOL	Molenbeekvallei	166595	176767	2	1	1	1	4	454	1.34	27.476	14	2000	2013	10	3	3	1	27.886	1.9	0.3
MOLP023	MOL	Molenbeekvallei	166621	176753	2	1	1	1	4	454	1.51	26.979	14	2000	2013	10	3	3	1	27.339	2.02	0.3
MOLP024	MOL	Molenbeekvallei	166641	176739	2	1	1	1	4	454	1.43	26.794	14	2000	2013	10	3	3	1	27.234	2.02	0.3
MOLP025	MOL	Molenbeekvallei	166664	176724	2	1	1	1	4	454	1.42	26.695	14	2000	2013	10	3	3	1	27.035	1.96	0.4
MOMP001	MOM	Mombeekvallei	218033	175477	2	1	1	1	3	230	2	33.75	13	2000	2018	4	3	3	1	34.21	2.61	0.3
MOMP002	MOM	Mombeekvallei	218031	175576	2	1	1	1	3	230	2.05	33.554	13	2000	2018	4	3	3	1	33.964	2.61	0.3
MOMP011	MOM	Mombeekvallei	218028	175601	2	1	1	1	3	230	2.78	33.63	13	2017	2018	2	3	3	1	34.02	3.32	0.3
MOMP012	MOM	Mombeekvallei	218029	175631	2	1	1	1	3	230	2.62	33.663	13	2017	2018	2	3	3	1	34.013	3.12	0.3
MOMP020	MOM	Mombeekvallei	220506	175297	2	1	1	1	3	50	1.65	36.752	13	2017	2018	2	3	3	1	37.302	2.4	0.4
MOMP028	MOM	Mombeekvallei	222496	174765	2	1	1	1	3	50	2.94	39.194	13	2018	2018	1	3	3	1	39.584	3.53	0.4
MOMP029	MOM	Mombeekvallei	218029	175625	2	1	1	1	3	230	2.77	33.784	13	2017	2018	2	3	3	1	33.994	3.13	0.3
MOSP001	MOS	De Most	210617	207077	2	1	1	1	1	630	1.03	35.85	11	2000	2014	10	3	3	1	35.95	1.28	0.3
MOSP003	MOS	De Most	210894	207017	2	1	1	1	1	630	0.935	36.529	11	2000	2014	10	3	3	1	37.179	1.735	0.3
MOSP004	MOS	De Most	210870	207068	2	1	1	1	1	630	1.27	36.015	11	2000	2014	10	3	3	1	37.265	2.67	0.3
MSBP002	MSB	Molenstedebroek	194917	187270	2	1	1	1	2	54	1.8420000000001	18.599	12	2008	2019	8	3	3	1	19.1069999999999	2.6	0.5
MSBP010	MSB	Molenstedebroek	195271	186803	2	1	1	1	3	54	2.601	18.911	13	2018	2018	1	3	3	1	19.76	3.7	0.5
MSBP011	MSB	Molenstedebroek	195263	186767	2	1	1	1	3	54	2.831	18.721	13	2016	2018	3	3	3	1	19.44	3.8	0.5
MSBP012	MSB	Molenstedebroek	195272	186690	2	1	1	1	3	54	2.8080000000001	18.591	13	2018	2019	2	3	3	1	19.3329999999999	3.8	0.5
NEIP001	NEI	Neigembos	128122	167393	2	1	1	1	4	57	1.23	0	14	2007	2010	4	3	3	1	0.31	1.79	0.5
NEIP002	NEI	Neigembos	128078	167410	2	1	1	1	4	57	0.85	0	14	2007	2010	4	3	3	1	0.45	1.55	0.5
NODP009	NOD	Noordduinen	28467	200980	2	1	1	1	4	177	2.67	9.6	14	2002	2017	7	3	3	1	9.67	3.24	1
NUCP004	NUC	De Nuchten	119819	165933	2	1	1	1	3	217	1.7	12.9034	13	2008	2008	1	3	4	2	13.3734	2.32	0.3
NUCP005	NUC	De Nuchten	120097	165667	2	1	1	1	3	217	1.8	12.7946	13	2008	2008	1	3	5	4	13.2946	2.45	0.3
ORCP002	ORC	De Orchis	139863	196974	2	1	1	1	3	745	0.69	4.82	13	2000	2002	3	3	4	2	4.92	0.94	0.3
ORCP003	ORC	De Orchis	139866	197010	2	1	1	1	3	745	0.65	4.81	13	2000	2002	3	3	4	2	4.87	0.86	0.3
PARP002	PAR	Parike-bos	109810	163492	2	1	1	1	4	985	2.02	63.41	14	2009	2019	5	3	3	1	63.82	2.68	0.5
PARP003	PAR	Parike-bos	109730	163542	2	1	1	1	4	985	1.98	54.05	14	2009	2018	7	3	3	1	54.27	2.45	0.5
POMP004	POM	De Pomperik	225109	178542	2	1	1	1	3	306	1.47	34.778	13	2009	2017	7	3	3	1	35.078	2.02	0.5
POMP005	POM	De Pomperik	225048	178511	2	1	1	1	3	306	1.581	34.981	13	2009	2018	9	3	3	1	35.181	2.031	0.5
RASP001	RAS	Raspaillebos	120085	162768	2	1	1	1	4	217	2.32	68.994	14	2003	2018	5	3	3	1	69.404	2.98	0.5
RASP002	RAS	Raspaillebos	120111	162861	2	1	1	1	4	217	0.81	56.155	14	2003	2018	6	3	3	1	56.755	1.66	0.5
RASP003	RAS	Raspaillebos	120002	163028	2	1	1	1	4	217	1.07	40.612	14	2003	2018	9	3	3	1	40.862	1.57	0.5
ROTP003	ROT	Rotbroek	200403	185618	2	1	1	1	2	166	1.29	19.306	12	2014	2018	5	3	3	1	19.546	1.68	0.3
SANP006	SAN	Schansbeemden	216032	191815	2	1	1	1	1	694	1.99	36.53	11	NA	NA	0	3	4	2	36.79	2.4	0.3
SBBP002	SBB	Steenbergse bossen	109983	170962	2	1	1	1	4	89	1.19	51.227	14	2003	2003	1	3	4	2	52.147	2.26	0.3
SCPP021	SCP	Scheps	204705	204248	2	1	1	1	3	886	1.58	28.057	13	2008	2014	7	3	4	2	28.487	2.01	0
SCPP025	SCP	Scheps	206960	204244	2	1	1	1	2	886	1.53	30.348	12	2006	2011	6	3	1	6	31.348	2.53	0
SCPP033	SCP	Scheps	205281	204334	2	1	1	1	3	886	1.52	28.721	13	2008	2014	7	3	3	1	29.231	2.03	0
SCPP034	SCP	Scheps	205513	204333	2	1	1	1	2	886	1.13	28.688	12	2008	2014	7	3	3	1	29.538	1.98	0
SCPP035	SCP	Scheps	205616	204216	2	1	1	1	3	886	1.44	28.956	13	2008	2014	7	3	3	1	29.336	1.82	0
SCPP036	SCP	Scheps	205976	204000	2	1	1	1	3	886	1.78	29.74	13	2008	2014	7	3	3	1	29.94	1.98	0
SCPP039	SCP	Scheps	206669	204706	2	1	1	1	3	886	1.7	30.22	13	2008	2014	7	3	3	1	30.8	2.28	0
SCPP040	SCP	Scheps	206707	204679	2	1	1	1	3	886	1.35	30.811	13	2008	2014	7	3	3	1	31.331	1.87	0
SCPP042	SCP	Scheps	205315	204593	2	1	1	1	3	886	1.41	29.23	13	2008	2014	7	3	3	1	29.69	1.87	0
SCPP043	SCP	Scheps	207040	205023	2	1	1	1	2	886	0.87	30.58	12	2008	2014	7	3	3	1	30.89	1.18	0
