loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
ABEP119	ABE	Abeek	240908	208538	2	1	1	1	1	146	0.6	33.44	5	3	1	34.34	2	1
ABEP121	ABE	Abeek	240946	209037	2	1	1	1	1	146	1.58	33.81	5	3	1	34.68	2.95	1
ABEP122	ABE	Abeek	240978	209184	2	1	1	1	1	146	2.15	33.53	5	3	1	33.88	3	1
ABEP126	ABE	Abeek	239178	208571	2	1	1	1	1	146	1.44	34.88	5	3	1	35.89	2.95	1
ALMP001	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109770	185010	2	1	1	1	4	601	1.44	13.9	4	4	2	14.68	2.37	0.3
ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	2	1	1	1	4	601	1.05	13.42	4	4	2	13.8	1.58	0.3
ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	2	1	1	1	4	601	0.7	17.63	4	4	2	18.33	1.55	0.3
ARHP009	ARH	Aronst Hoek	203834	177051	1	2	1	1	2	486	1.95	24.01	3	6	3	24.31	2.4	0.3
ARHP010	ARH	Aronst Hoek	203804	177070	1	2	1	1	2	486	2.15	23.791	3	6	3	24.191	2.7	0.3
ASBP003	ASB	Asbeek	238036	179497	2	1	1	1	3	1010	0.95	75.391	2	3	1	75.931	1.64	0.3
AVEP007	AVE	Averbode	194071	191836	2	1	1	1	3	54	1.73	21.94	2	7	7	22.46	2.5	0.5
AVEP010	AVE	Averbode	194417	192701	2	1	1	1	3	54	2.83	21.69	2	4	2	22.61	4	0.5
AVEP032	AVE	Averbode	192603	192680	2	1	1	1	3	310	0.97	19.8	2	3	1	20.15	1.47	0.3
AVEP036	AVE	Averbode	194308	192708	2	1	1	1	3	54	2.5	21.981	2	1	6	22.731	3.5	0.5
BABP012	BAB	Barebeek	160190	180988	2	1	1	1	4	710	2.55	12.39	4	4	2	12.39	3.05	1
BEBP012	BEB	Bellebeek	133244	174908	2	1	1	1	3	505	1.7	13.91	2	7	7	13.91	2.2	1
BEBP013	BEB	Bellebeek	133268	174873	2	1	1	1	3	505	0.94	13.21	2	4	2	13.9	1.78	0.3
BELP001	BEL	de Belv̩d̬re	28357	199975	2	1	1	1	4	177	1.85	4.371	4	3	1	5.341	2.97	0.3
BELP013	BEL	de Belv̩d̬re	27594	199720	2	1	1	1	4	177	1.1	6.41	4	3	1	6.94	1.88	0.5
BOEP003	BOE	Boembeke	107334	170403	2	1	1	1	4	89	2.8	0	4	4	2	0.6	3.4	0
BRAP002	BRA	Bos van Ranst	163992	210550	2	1	1	1	4	918	0.24	9.19	4	4	2	9.56	1.22	1.22
BRAP003	BRA	Bos van Ranst	163755	210701	2	1	1	1	4	918	1.125	8.84	4	4	2	9.4	2.17	0.97
BRAP009	BRA	Bos van Ranst	165408	210432	2	1	1	1	4	918	0.61	9.24	4	5	4	9.93	1.9	1.2
BRAP102	BRA	Bos van Ranst	163992	210550	2	1	1	1	4	918	1.525	9.17	4	4	2	9.62	2.25	0.55
BTRP001	BTR	Bos ter Rijst	101924	164018	2	1	1	1	4	25	2.02	68.02	4	4	2	68.17	2.32	0.3
BUCP010	BUC	Buckenslinde	229690	170679	2	1	1	1	3	818	1.33	0	2	4	2	0.57	3.8	3.8
COOP001	COO	Coolhembos	146113	196127	2	1	1	1	1	233	1.25	1.96	5	3	1	2.56	2	0.3
DEMP007	DEM	de Merode-Herselt	190806	194941	2	1	1	1	1	822	2.07	15.85	5	3	1	16.34	2.71	0.3
DEMP011	DEM	de Merode-Herselt	190657	194916	2	1	1	1	1	822	1.85	15.76	5	3	1	15.76	2	0.3
DMLP048	DML	Dommel	221817	199801	2	1	1	1	3	210	1.39	65.524	2	3	1	66.114	2.23	0.5
DMLP049	DML	Dommel	221853	199865	2	1	1	1	3	210	0.81	65.318	2	3	1	65.838	1.58	0.5
DMLP050	DML	Dommel	221941	199986	2	1	1	1	3	210	1.72	65.665	2	3	1	66.265	2.57	0.5
DMLP248	DML	Dommel	221817	199801	2	1	1	1	3	210	0.805	65.514	2	3	1	66.114	2.21	1.61
DORP002	DOR	Dorent	154427	193391	2	1	1	1	3	790	1.15	3.8	2	4	2	4.94	2.44	0.3
DORP004	DOR	Dorent	154347	192887	2	1	1	1	3	790	1.67	3.58	2	2	5	3.98	2.22	0.3
DORP005	DOR	Dorent	154407	193044	2	1	1	1	3	790	1.13	3.56	2	4	2	4.25	1.97	0.3
DORP016	DOR	Dorent	158521	186074	2	1	1	1	3	790	1.81	7.35	2	4	2	8.07	2.68	0.3
DORP024	DOR	Dorent	154823	182431	2	1	1	1	4	710	2.56	9.8	4	1	6	10.17	3.08	0.3
DPBP007	DPB	Diepenbeek	221649	179772	2	1	1	1	2	306	2.01	-0.55	3	3	1	0	2.76	0.4
DUNP010	DUN	Dunbergbroek	178354	180655	2	1	1	1	4	134	1.81	15.714	4	3	1	16.054	2.4	0.5
DUNP011	DUN	Dunbergbroek	178562	180199	2	1	1	1	4	134	1.82	16.05	4	3	1	16.54	2.31	0
DUNP012	DUN	Dunbergbroek	178707	179625	2	1	1	1	4	134	1.53	18.29	4	3	1	19.08	2.32	0
DYLP018	DYL	Dijlevallei	169471	167314	2	1	1	1	4	262	2.03	28.16	4	3	1	28.55	2.57	0.3
DYLP020	DYL	Dijlevallei	169378	167510	2	1	1	1	3	262	1.74	27.24	2	3	1	27.48	2.23	0.5
DYLP021	DYL	Dijlevallei	169440	167581	2	1	1	1	3	262	2.06	27.89	2	3	1	28.21	2.53	0.3
DYLP029	DYL	Dijlevallei	169238	167404	2	1	1	1	2	262	1.29	27	3	3	1	27.42	1.86	0.3
DYLP037	DYL	Dijlevallei	169802	167510	2	1	1	1	4	582	0.97	27.99	4	3	1	28.42	1.55	0.3
DYLP038	DYL	Dijlevallei	169834	167707	2	1	1	1	4	582	1.36	27.75	4	4	2	28.24	2	0.3
DYLP064	DYL	Dijlevallei	169296	166832	2	1	1	1	3	262	0.95	27.12	2	3	1	27.39	1.37	0.3
DYLP066	DYL	Dijlevallei	169359	167629	2	1	1	1	3	262	2.205	27.165	2	3	1	27.435	2.625	0.3
DYLP070	DYL	Dijlevallei	169294	167490	2	1	1	1	3	262	1.64	27.47	2	3	1	27.84	2.16	0.3
DYLP071	DYL	Dijlevallei	169297	167489	2	1	1	1	3	262	1.46	27.24	2	3	1	27.65	2.02	0.3
DYLP072	DYL	Dijlevallei	169307	167493	2	1	1	1	3	262	1.61	27.13	2	3	1	27.55	2.18	0.3
DYLP073	DYL	Dijlevallei	169323	167496	2	1	1	1	3	262	1.61	27.22	2	3	1	27.61	2.15	0.3
DYLP080	DYL	Dijlevallei	169130	167736	2	1	1	1	4	262	1.78	27.37	4	3	1	27.74	2.3	0.3
DYLP081	DYL	Dijlevallei	169188	167724	2	1	1	1	3	262	1.91	27.07	2	3	1	27.36	2.35	0.3
DYLP082	DYL	Dijlevallei	169045	167592	2	1	1	1	4	262	1.65	28.1	4	3	1	28.73	2.43	0.3
DYLP083	DYL	Dijlevallei	169131	167557	2	1	1	1	4	262	1.81	27.53	4	3	1	28	2.43	0.3
DYLP086	DYL	Dijlevallei	168957	166994	2	1	1	1	4	262	1.71	27.45	4	3	1	27.98	2.39	0.3
DYLP087	DYL	Dijlevallei	169145	166917	2	1	1	1	3	262	1.96	27	2	4	2	27.4	2.51	0.3
DYLP090	DYL	Dijlevallei	169171	167071	2	1	1	1	3	262	1.39	26.7	2	3	1	27.11	1.95	0.3
DYLP093	DYL	Dijlevallei	169379	167872	2	1	1	1	3	262	1.58	26.891	2	3	1	27.101	2.04	0.5
DYLP098	DYL	Dijlevallei	168836	166696	2	1	1	1	3	262	0.85	26.786	2	3	1	27.226	1.54	0.5
DYLP099	DYL	Dijlevallei	168981	166780	2	1	1	1	3	262	1.235	26.862	2	3	1	27.252	1.88	0.51
DYLP104	DYL	Dijlevallei	169342	166912	2	1	1	1	3	262	1.41	27	2	3	1	26.9	1.46	0.3
DYLP109	DYL	Dijlevallei	169049	168137	2	1	1	1	4	262	2.82	27.66	4	3	1	28.13	3.44	0.3
DYLP110	DYL	Dijlevallei	168864	168173	2	1	1	1	4	262	2.83	27.8	4	4	2	28.17	3.35	0.3
DYLP139	DYL	Dijlevallei	169209	169293	2	1	1	1	4	262	1.99	25.83	4	4	2	25.95	2.26	0.3
DYLP156	DYL	Dijlevallei	169478	166091	2	1	1	1	3	262	1.84	28.092	2	3	1	28.432	2.33	0.3
DYLP157	DYL	Dijlevallei	169469	166259	2	1	1	1	2	262	1.85	27.73	3	4	2	28.05	2.32	0.3
DYLP159	DYL	Dijlevallei	169361	168086	2	1	1	1	3	262	2.73	26.46	2	4	2	27.37	3.79	0.3
DYLP174	DYL	Dijlevallei	168993	166493	2	1	1	1	3	262	0.11	25.98	2	3	1	26.36	0.74	0.5
FDBP001	FDB	Floordambos	156852	179102	2	1	1	1	4	710	1.03	15.15	4	3	1	15.89	2.02	0.5
FDBP002	FDB	Floordambos	157800	179226	2	1	1	1	4	710	1.03	15.76	4	3	1	16.5	2.02	0.5
FDBP003	FDB	Floordambos	156845	179098	2	1	1	1	4	710	0.54	15.04	4	3	1	15.79	1.79	1
FDBP004	FDB	Floordambos	156842	179102	2	1	1	1	4	710	0.63	15.34	4	3	1	16.11	1.9	1
FDBP104	FDB	Floordambos	156842	179102	2	1	1	1	4	710	1.99	15.33	4	3	1	16.29	3.1	0.3
FLOP004	FLO	Vijvers van Florival	169013	161968	2	1	1	1	2	262	1.25	31.74	3	4	2	32.47	2.13	0.3
GOBP004	GOB	Gorenbroek	201885	184397	2	1	1	1	2	166	2.11	20.0131	3	3	1	20.4131	2.66	0.3
GRSP003	GRS	Griesbroek	203794	204483	2	1	1	1	3	886	0.81	27.114	2	3	1	27.714	1.66	0.5
GRSP004	GRS	Griesbroek	203830	204305	2	1	1	1	3	886	1.21	26.787	2	3	1	27.347	2.02	0.5
GRSP005	GRS	Griesbroek	203821	204135	2	1	1	1	3	886	0.89	26.645	2	3	1	27.155	1.65	0.5
GSCP001	GSC	Groot Schietveld	167638	229848	2	1	1	1	3	478	1.8	17.75	2	7	7	18.45	3	1
GSCP002	GSC	Groot Schietveld	167621	229841	2	1	1	1	3	478	1.48	17.78	2	4	2	18.53	2.73	1
GSCP003	GSC	Groot Schietveld	167616	229839	2	1	1	1	3	478	2.05	17.57	2	1	6	18.02	3	1
GSCP006	GSC	Groot Schietveld	167534	229824	2	1	1	1	3	478	1.95	18.16	2	4	2	18.36	2.3	0.3
GSCP007	GSC	Groot Schietveld	167540	229836	2	1	1	1	3	478	1.97	18.25	2	3	1	18.43	2.3	0.3
GSCP008	GSC	Groot Schietveld	167490	229826	2	1	1	1	3	478	2.22	18.4	2	4	2	18.77	2.84	0.5
GSCP009	GSC	Groot Schietveld	167459	229809	2	1	1	1	3	478	1.45	0	2	4	2	0.8	2.5	0.5
GSCP010	GSC	Groot Schietveld	167656	229861	2	1	1	1	3	478	1.77	17.87	2	4	2	18.6	3	1
GSCP011	GSC	Groot Schietveld	167660	229863	2	1	1	1	3	478	1.7	17.65	2	3	1	18.45	3	1
GSCP012	GSC	Groot Schietveld	167675	229876	2	1	1	1	3	478	1.61	17.64	2	4	2	18.53	3	1
GSCP015	GSC	Groot Schietveld	167670	229195	2	1	1	1	3	478	2.74	18.68	2	4	2	19.44	4	1
GSCP016	GSC	Groot Schietveld	167665	229198	2	1	1	1	3	478	2.92	18.47	2	3	1	19.05	4	1
GSCP017	GSC	Groot Schietveld	167657	229201	2	1	1	1	3	478	1.66	18.51	2	4	2	19.01	2.41	0.5
GSCP018	GSC	Groot Schietveld	167646	229194	2	1	1	1	3	478	1.83	18.39	2	7	7	18.81	2.5	0.5
GSCP019	GSC	Groot Schietveld	167677	229190	2	1	1	1	3	478	1.7	17.91	2	4	2	18.71	3	1
GSCP020	GSC	Groot Schietveld	167682	229188	2	1	1	1	3	478	2.23	18.5	2	4	2	18.52	2.5	0.5
GSCP021	GSC	Groot Schietveld	167691	229182	2	1	1	1	3	478	1.67	18.31	2	3	1	18.89	2.5	0.5
GSCP024	GSC	Groot Schietveld	168020	229769	2	1	1	1	3	478	1.78	19.06	2	4	2	19.69	2.56	0.3
GSCP034	GSC	Groot Schietveld	165256	226975	2	1	1	1	3	478	1.07	23.05	2	4	2	23.53	1.7	0.3
GSCP035	GSC	Groot Schietveld	165244	226881	2	1	1	1	3	478	0.7	21.56	2	4	2	22.45	1.74	0.3
GSCP042	GSC	Groot Schietveld	165107	228843	2	1	1	1	3	478	1.889	20.45	2	3	1	20.62	2.209	0.3
GSCP050	GSC	Groot Schietveld	165107	228842	2	1	1	1	3	478	0.7415	20.41	2	4	2	20.62	1.693	1.483
GSCP068	GSC	Groot Schietveld	165075	228761	2	1	1	1	3	478	0.68	20.455	2	3	1	21.205	1.67	0.48
GSCP168	GSC	Groot Schietveld	165075	228761	2	1	1	1	3	478	2.44	20.495	2	3	1	21.085	3.26	0.46
HAGP019	HAG	Hageven	224064	217725	2	1	1	1	2	274	1.811	34.401	3	4	2	34.611	2.271	0.5
HAGP023	HAG	Hageven	222955	217220	2	1	1	1	3	274	1.87	35.77	2	4	2	36.08	2.33	0.3
HAGP038	HAG	Hageven	223537	217590	2	1	1	1	3	274	1.106	34.386	2	4	2	34.536	1.506	0.5
HAGP073	HAG	Hageven	222789	216198	2	1	1	1	2	274	1.48	36.35	3	4	2	36.43	1.81	0.5
HAGP076	HAG	Hageven	223030	216871	2	1	1	1	3	274	1.78	35.169	2	7	7	35.439	2.2	0.3
HAGP077	HAG	Hageven	223081	216846	2	1	1	1	3	274	1.5	36.81	2	7	7	36.81	2	1
HAGP100	HAG	Hageven	222955	217220	2	1	1	1	3	274	1.566	35.668	2	3	1	35.852	1.9	0.3
HAGP101	HAG	Hageven	223787	217925	2	1	1	1	3	274	1.48	34.023	2	3	1	34.243	1.85	0.3
HALP001	HAL	Hallerbos	143431	155389	2	1	1	1	4	185	1.87	74.762	4	4	2	74.902	2.16	0.3
HALP002	HAL	Hallerbos	143429	155341	2	1	1	1	4	185	1.62	74.36	4	3	1	74.74	2.15	0.3
HALP005	HAL	Hallerbos	144281	156162	2	1	1	1	4	185	1.81	68.573	4	3	1	68.673	2.06	0.3
HAYP001	HAY	Hayesbos	107209	163506	2	1	1	1	4	985	1.72	76.375	4	4	2	76.585	2.08	0.3
HBTP007	HBT	Helderbeekvallei Terril	212986	193133	2	1	1	1	3	694	1.75	33.026	2	3	1	33.586	2.46	0.3
HBTP008	HBT	Helderbeekvallei Terril	212972	193185	2	1	1	1	3	694	1.91	32.878	2	3	1	33.378	2.56	0.3
HBTP012	HBT	Helderbeekvallei Terril	213272	193218	2	1	1	1	3	694	1.3	33.784	2	3	1	34.334	2	0.3
HBTP013	HBT	Helderbeekvallei Terril	213305	193103	2	1	1	1	3	694	1.37	33.864	2	3	1	34.354	2.01	0.3
HEMP001	HEM	Heverleebos & Meerdaalbos	170255	165889	2	1	1	1	4	582	0.83	49.28	4	4	2	49.28	0.98	0.3
HEMP002	HEM	Heverleebos & Meerdaalbos	170255	165889	2	1	1	1	4	582	1.57	0	4	4	2	0.02	1.74	0.3
HEMP003	HEM	Heverleebos & Meerdaalbos	170255	165889	2	1	1	1	4	582	0.83	0	4	4	2	0.2	1.18	0.3
HEMP004	HEM	Heverleebos & Meerdaalbos	175255	165889	2	1	1	1	4	582	2.03	0	4	4	2	0.16	2.34	0.3
HIPP003	HIP	Hingense polders	142098	200326	2	1	1	1	3	745	2.3	1.26	2	4	2	2.21	3.5	0.5
HIPP004	HIP	Hingense polders	142171	200253	2	1	1	1	3	745	2.46	1.41	2	4	2	2.31	3.61	0.5
HIPP005	HIP	Hingense polders	142275	200052	2	1	1	1	3	745	1.95	1.26	2	4	2	2.31	3.25	0.5
HIPP006	HIP	Hingense polders	142463	199795	2	1	1	1	3	745	2.85	2.46	2	4	2	3.16	3.8	0.5
HIPP008	HIP	Hingense polders	143006	200372	2	1	1	1	3	745	2.37	1.55	2	4	2	2.56	3.63	0.5
HIPP009	HIP	Hingense polders	143054	200215	2	1	1	1	3	745	2.35	1.2	2	4	2	2.36	3.76	0.5
HIPP011	HIP	Hingense polders	143593	200953	2	1	1	1	3	745	2.59	1.11	2	1	6	2.25	3.98	0.5
HIPP012	HIP	Hingense polders	143650	200788	2	1	1	1	3	745	2.39	1.18	2	1	6	2.13	3.59	0.5
HIPP015	HIP	Hingense polders	144325	201199	2	1	1	1	3	745	2.35	1.13	2	4	2	1.85	3.32	0.5
HIPP016	HIP	Hingense polders	144362	201030	2	1	1	1	3	745	1.75	1.12	2	4	2	2.1	2.98	0.5
HIPP021	HIP	Hingense polders	144238	200533	2	1	1	1	3	745	2.27	1.02	2	4	2	1.9	3.4	0.5
HIPP106	HIP	Hingense polders	142463	199795	2	1	1	1	3	745	2.85	2.46	2	4	2	3.26	3.9	0.5
HOPP004	HOP	Hobokense Polder	148237	208881	2	1	1	1	2	297	2.09	3.27	3	4	2	3.49	2.51	0.4
HOSP014	HOS	Houtsaegerduinen/oosthoek	25947	200507	2	1	1	1	4	177	2.91	6.08	4	4	2	5.78	2.86	0.5
HOSP017	HOS	Houtsaegerduinen/oosthoek	26564	201197	2	1	1	1	4	177	2.01	5.71	4	4	2	5.61	2.16	0.5
HOSP021	HOS	Houtsaegerduinen/oosthoek	26432	200639	2	1	1	1	4	177	2.72	6.28	4	4	2	6.19	2.88	0.5
HOSP022	HOS	Houtsaegerduinen/oosthoek	26835	200536	2	1	1	1	4	177	2.91	9.19	4	4	2	9.09	3.06	0.5
HOSP025	HOS	Houtsaegerduinen/oosthoek	26022	200670	2	1	1	1	4	177	2.03	5.72	4	3	1	6.3	2.86	0.5
HOSP026	HOS	Houtsaegerduinen/oosthoek	25945	200361	1	2	1	1	4	177	1.66	5.9	4	3	1	5.9	1.91	0.5
HOSP051	HOS	Houtsaegerduinen/oosthoek	25960	199281	2	1	1	1	4	177	2.5275	5.57	4	3	1	5.97	3.08	0.305
HOSP055	HOS	Houtsaegerduinen/oosthoek	26198	199550	2	1	1	1	4	177	1.9	6.74	4	7	7	7.5	2.81	0.3
HOSP056	HOS	Houtsaegerduinen/oosthoek	26418	199310	2	1	1	1	4	177	1.27	5.75	4	4	2	6.37	2.04	0.3
HOSP057	HOS	Houtsaegerduinen/oosthoek	26628	199414	2	1	1	1	4	177	1.59	6.51	4	7	7	6.51	1.74	0.3
IJSP003	IJS	Ijsevallei	163141	164523	2	1	1	1	3	262	0.83	6.52	2	4	2	7.04	1.5	0.3
IJSP011	IJS	Ijsevallei	165317	164191	2	1	1	1	3	262	2.62	9.93	2	4	2	10.16	3	0.3
IJSP017	IJS	Ijsevallei	165468	164008	2	1	1	1	2	262	0.5	15.89	3	4	2	16.24	1	0.3
IJSP018	IJS	Ijsevallei	166990	166250	2	1	1	1	3	262	1.64	11.45	2	5	4	11.66	2	0.3
IJSP020	IJS	Ijsevallei	167025	166227	2	1	1	1	3	262	1.51	11.24	2	4	2	11.28	1.7	0.3
IJSP021	IJS	Ijsevallei	167035	166210	2	1	1	1	3	262	1.23	11.45	2	4	2	11.67	1.6	0.3
IJSP023	IJS	Ijsevallei	166813	166073	2	1	1	1	4	262	1.28	35.804	4	3	1	36.094	1.72	0.3
IJZP118	IJZ	Ijzermonding	37206	206984	2	1	1	1	4	817	1.65	5.327	4	3	1	5.327	1.9	0.5
IJZP119	IJZ	Ijzermonding	37343	207078	2	1	1	1	4	817	1.58	5.342	4	3	1	5.342	1.83	0.5
IJZP123	IJZ	Ijzermonding	37678	207119	2	1	1	1	4	817	2.76	6.631	4	3	1	6.681	3.06	0.5
IJZP125	IJZ	Ijzermonding	37810	207307	2	1	1	1	4	817	1.73	6.174	4	3	1	6.204	2.01	0.5
IJZP126	IJZ	Ijzermonding	36874	206635	2	1	1	1	4	817	1.81	5.331	4	3	1	5.391	2.12	0.5
IJZP127	IJZ	Ijzermonding	37973	207166	2	1	1	1	4	817	2.56	6.848	4	3	1	7.358	3.32	0.5
ITTP212	ITT	Itterbeekvallei	242307	202672	2	1	1	1	1	146	1.99	34.995	5	3	1	35.225	2.37	0.3
KALP022	KAL	Kalmthoutse heide	155356	230811	2	1	1	1	3	734	0.82	23.47	2	3	1	23.29	1.14	1
KALP050	KAL	Kalmthoutse heide	153881	233802	2	1	1	1	3	734	2.65	21.03	2	4	2	21.03	2.8	0.3
KALP051	KAL	Kalmthoutse heide	153822	233761	2	1	1	1	3	734	2.85	21.06	2	4	2	21.48	3.42	0.3
KALP052	KAL	Kalmthoutse heide	153822	233761	2	1	1	1	3	734	1.4	21.06	2	4	2	21.58	2.02	0.2
KALP053	KAL	Kalmthoutse heide	153781	233736	2	1	1	1	3	734	1.45	21.05	2	4	2	21.49	2.04	0.3
KALP057	KAL	Kalmthoutse heide	154722	232437	2	1	1	1	3	734	0.65	20.267	2	3	1	20.747	1.23	0.2
KALP059	KAL	Kalmthoutse heide	154754	232459	2	1	1	1	3	734	1.4	20.54	2	4	2	20.86	1.82	0.2
KALP060	KAL	Kalmthoutse heide	154702	232476	2	1	1	1	3	734	2.7	20.54	2	4	2	20.99	3.25	0.2
KALP062	KAL	Kalmthoutse heide	154553	230423	2	1	1	1	3	734	1.9	24.12	2	4	2	24.76	2.64	0.2
KALP063	KAL	Kalmthoutse heide	154669	230340	2	1	1	1	3	734	0.9	23.985	2	3	1	24.105	1.12	0.2
KALP081	KAL	Kalmthoutse heide	153881	233802	2	1	1	1	3	734	2.3	21.41	2	4	2	21.41	2.8	1
KALP082	KAL	Kalmthoutse heide	154210	234773	2	1	1	1	3	734	1	17.02	2	4	2	17.02	1.5	1
KALP136	KAL	Kalmthoutse heide	154423	234049	2	1	1	1	3	734	1.01	17.174	2	3	1	18.514	2.53	0.36
KALP137	KAL	Kalmthoutse heide	154350	234337	2	1	1	1	3	734	1.42	17.08	2	3	1	17.91	2.43	0.36
