unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	gew_aantal_meetptn	geselecteerd	reserve	cat	selectie	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
2	ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	2	1	1	1	4	601	1.05	13.42	14	1	0	2	3	1	4	2	13.8	1.58	0.3
5	ARHP010	ARH	Aronst Hoek	203804	177070	1	2	1	1	2	486	2.15	23.791	12	1	0	4	3	-1	6	3	24.191	2.7	0.3
7	BEBP012	BEB	Bellebeek	133244	174908	2	1	1	1	3	505	1.7	13.91	13	1	0	3	3	-1	7	7	13.91	2.2	1
8	BEBP013	BEB	Bellebeek	133268	174873	2	1	1	1	3	505	0.94	13.21	13	1	0	4	3	-1	4	2	13.9	1.78	0.3
11	BRAP003	BRA	Bos van Ranst	163755	210701	2	1	1	1	4	918	1.125	8.84	14	1	0	2	3	-1	4	2	9.4	2.17	0.97
13	BRAP102	BRA	Bos van Ranst	163992	210550	2	1	1	1	4	918	1.525	9.17	14	1	0	3	3	-1	4	2	9.62	2.25	0.55
14	DEMP007	DEM	de Merode-Herselt	190806	194941	2	1	1	1	1	822	2.07	15.85	11	1	0	4	3	1	3	1	16.34	2.71	0.3
15	DEMP011	DEM	de Merode-Herselt	190657	194916	2	1	1	1	1	822	1.85	15.76	11	1	0	3	3	1	3	1	15.76	2	0.3
17	DORP004	DOR	Dorent	154347	192887	2	1	1	1	3	790	1.67	3.58	13	1	0	2	3	1	2	5	3.98	2.22	0.3
19	DUNP010	DUN	Dunbergbroek	178354	180655	2	1	1	1	4	134	1.81	15.714	14	1	0	2	3	1	3	1	16.054	2.4	0.5
20	DUNP011	DUN	Dunbergbroek	178562	180199	2	1	1	1	4	134	1.82	16.05	14	1	0	3	3	1	3	1	16.54	2.31	0
22	DYLP020	DYL	Dijlevallei	169378	167510	2	1	1	1	3	262	1.74	27.24	13	1	0	5	3	1	3	1	27.48	2.23	0.5
23	DYLP021	DYL	Dijlevallei	169440	167581	2	1	1	1	3	262	2.06	27.89	13	1	0	3	3	1	3	1	28.21	2.53	0.3
26	DYLP066	DYL	Dijlevallei	169359	167629	2	1	1	1	3	262	2.205	27.165	13	1	0	8	3	1	3	1	27.435	2.625	0.3
29	DYLP073	DYL	Dijlevallei	169323	167496	2	1	1	1	3	262	1.61	27.22	13	1	0	7	3	1	3	1	27.61	2.15	0.3
30	DYLP156	DYL	Dijlevallei	169478	166091	2	1	1	1	3	262	1.84	28.092	13	1	0	9	3	1	3	1	28.432	2.33	0.3
31	GOBP004	GOB	Gorenbroek	201885	184397	2	1	1	1	2	166	2.11	20.0131	12	1	0	3	3	1	3	1	20.4131	2.66	0.3
32	GSCP002	GSC	Groot Schietveld	167621	229841	2	1	1	1	3	478	1.48	17.78	13	1	0	5	3	1	4	2	18.53	2.73	1
33	GSCP007	GSC	Groot Schietveld	167540	229836	2	1	1	1	3	478	1.97	18.25	13	1	0	2	3	1	3	1	18.43	2.3	0.3
34	GSCP008	GSC	Groot Schietveld	167490	229826	2	1	1	1	3	478	2.22	18.4	13	1	0	6	3	1	4	2	18.77	2.84	0.5
35	GSCP009	GSC	Groot Schietveld	167459	229809	2	1	1	1	3	478	1.45	0	13	1	0	9	3	1	4	2	0.8	2.5	0.5
37	GSCP011	GSC	Groot Schietveld	167660	229863	2	1	1	1	3	478	1.7	17.65	13	1	0	3	3	1	3	1	18.45	3	1
39	GSCP020	GSC	Groot Schietveld	167682	229188	2	1	1	1	3	478	2.23	18.5	13	1	0	4	3	1	4	2	18.52	2.5	0.5
40	GSCP021	GSC	Groot Schietveld	167691	229182	2	1	1	1	3	478	1.67	18.31	13	1	0	8	3	1	3	1	18.89	2.5	0.5
41	GSCP024	GSC	Groot Schietveld	168020	229769	2	1	1	1	3	478	1.78	19.06	13	1	0	7	3	1	4	2	19.69	2.56	0.3
45	HALP002	HAL	Hallerbos	143429	155341	2	1	1	1	4	185	1.62	74.36	14	2	0	3	3	-1	3	1	74.74	2.15	0.3
48	HBTP008	HBT	Helderbeekvallei Terril	212972	193185	2	1	1	1	3	694	1.91	32.878	13	1	0	4	3	1	3	1	33.378	2.56	0.3
49	IJSP003	IJS	Ijsevallei	163141	164523	2	1	1	1	3	262	0.83	6.52	13	1	0	4	3	1	4	2	7.04	1.5	0.3
52	KALP022	KAL	Kalmthoutse heide	155356	230811	2	1	1	1	3	734	0.82	23.47	13	1	0	2	3	1	3	1	23.29	1.14	1
55	KLUP003	KLU	Kluysbos	119864	161359	2	1	1	1	4	217	0.68	44.73	14	1	0	2	3	-1	4	2	45.12	1.32	0.5
56	LAAP003	LAA	Laambroeken	218524	190066	2	1	1	1	3	694	1.91	40.153	13	1	0	2	3	1	4	2	40.583	2.49	0.3
57	LAVP059	LAV	Laanvallei	168181	164052	2	1	1	1	3	262	1.83	30.35	13	1	0	2	3	1	4	2	30.62	2.1	0
58	LAVP060	LAV	Laanvallei	168105	164098	2	1	1	1	3	262	1.87	31.09	13	1	0	6	3	1	4	2	31.41	2.19	0
61	LDOP035	LDO	Langdonken	185221	191291	2	1	1	1	1	342	1.77	14.02	11	1	0	2	3	1	3	1	14.57	2.47	0.3
63	LEPP009	LEP	Lenspolder	34664	204521	2	1	1	1	4	817	2.16	4.91	14	1	0	3	3	1	4	2	5.19	2.44	0
64	LEPP011	LEP	Lenspolder	34654	204481	2	1	1	1	4	817	1.22	4.66	14	1	0	10	3	1	4	2	5.56	2.12	0
65	LEUP005	LEU	De Leunen	201075	186470	2	1	1	1	2	54	1.18	-0.74	12	1	0	5	3	-1	3	1	0	2.07	0.3
66	LEUP006	LEU	De Leunen	201075	186405	2	1	1	1	2	54	0.43	-0.9	12	1	0	11	3	-1	3	1	0	1.51	0.36
67	LEUP008	LEU	De Leunen	201300	186315	2	1	1	1	2	54	0.63	-0.79	12	1	0	9	3	-1	3	1	0	1.57	0.3
68	LEUP009	LEU	De Leunen	201320	186255	2	1	1	1	2	54	0.575	-0.8	12	1	0	7	3	-1	3	1	0	1.52	0.29
69	LOHP009	LOH	Lovenhoek	175532	213189	2	1	1	1	4	214	0.6	10.746	14	1	0	3	3	1	3	1	11.646	2.5	2
71	LOHP017	LOH	Lovenhoek	175233	213318	2	1	1	1	4	214	0.91	10.265	14	1	0	2	3	1	3	1	10.905	2.55	2
73	MATP003	MAT	De Maten	224779	181757	2	1	1	1	1	306	0.88	41.97	11	1	0	2	3	1	3	1	42.28	1.44	0.5
74	MATP006	MAT	De Maten	226190	183227	2	1	1	1	3	306	1.64	49.23	13	1	0	4	3	1	3	1	49.65	2.31	0.5
77	MATP014	MAT	De Maten	226291	182944	2	1	1	1	3	306	1.23	48.72	13	1	0	6	3	1	3	1	49.05	1.81	0.5
78	MATP015	MAT	De Maten	226040	183424	2	1	1	1	1	306	0.63	49.24	11	1	0	3	3	1	3	1	49.66	1.3	0.5
79	MATP017	MAT	De Maten	226823	183586	2	1	1	1	3	306	0.85	50.921	13	1	0	3	3	1	3	1	51.431	1.61	0.5
80	MOEP011	MOE	Moenebroeken	116115	166574	2	1	1	1	3	217	2.59	0	13	1	0	2	3	1	4	2	0.45	3.04	0
82	MOLP018	MOL	Molenbeekvallei	167135	177145	2	1	1	1	4	454	1.34	25.3	14	1	0	2	3	1	3	1	25.82	2.01	0.3
84	MOLP024	MOL	Molenbeekvallei	166641	176739	2	1	1	1	4	454	1.43	26.794	14	1	0	4	3	1	3	1	27.234	2.02	0.3
85	MOLP025	MOL	Molenbeekvallei	166664	176724	2	1	1	1	4	454	1.49	26.695	14	1	0	3	3	1	3	1	27.035	2.03	0.4
88	MOMP013	MOM	Mombeekvallei	218029	175631	2	1	1	1	3	230	2.77	33.784	13	1	0	2	3	1	7	7	33.994	3.13	0.3
89	MOMP020	MOM	Mombeekvallei	220506	175297	2	1	1	1	3	50	1.65	36.752	13	1	0	2	3	-1	3	1	37.302	2.4	0.4
92	MOSP016	MOS	De Most	212638	207858	1	2	1	1	1	630	0.83	39.831	11	1	0	3	3	1	3	1	40.501	1.75	0.5
94	MSBP002	MSB	Molenstedebroek	194917	187270	2	1	1	1	2	54	1.8420000000001	18.599	12	1	0	3	3	-1	3	1	19.1069999999999	2.6	0.5
95	MSBP003	MSB	Molenstedebroek	194861	187151	1	2	1	1	2	54	1.77	18.684	12	1	0	2	3	-1	4	2	19.154	2.44	0.4
96	MSBP006	MSB	Molenstedebroek	194955	187335	2	1	1	1	2	54	1.886	18.446	12	1	0	12	3	-1	3	1	18.91	2.6	0.5
98	MSBP008	MSB	Molenstedebroek	194883	187199	2	1	1	1	2	54	1.3770000000001	18.513	12	1	0	10	3	-1	3	1	19.3859999999999	2.5	0.5
99	MSBP009	MSB	Molenstedebroek	194851	187121	2	1	1	1	2	54	2.516	19.018	12	1	0	6	3	-1	3	1	19.452	3.2	0.5
100	MSBP013	MSB	Molenstedebroek	195275	186651	2	1	1	1	2	54	1.965	18.5859999999999	12	1	0	4	3	-1	3	1	19.3709999999999	3	0.5
101	MSBP014	MSB	Molenstedebroek	195268	186601	2	1	1	1	2	54	2.0159999999999	18.6419999999999	12	1	0	8	3	-1	3	1	19.376	3	0.5
103	NEIP002	NEI	Neigembos	128078	167410	2	1	1	1	4	57	0.85	0	14	1	0	2	3	-1	3	1	0.45	1.55	0.5
108	ORCP013	ORC	De Orchis	139861	197002	2	1	1	1	3	745	1.11	4.808	13	2	0	3	3	1	4	2	4.808	1.26	0.3
109	PARP002	PAR	Parike-bos	109810	163492	2	1	1	1	4	985	2.02	63.41	14	1	0	2	3	1	3	1	63.82	2.68	0.5
111	POMP004	POM	De Pomperik	225109	178542	2	1	1	1	3	306	1.47	34.778	13	1	0	5	3	1	3	1	35.078	2.02	0.5
112	POMP005	POM	De Pomperik	225048	178511	2	1	1	1	3	306	1.581	34.981	13	1	0	2	3	1	3	1	35.181	2.031	0.5
113	RASP001	RAS	Raspaillebos	120085	162768	2	1	1	1	4	217	2.32	68.994	14	1	0	3	3	-1	3	1	69.404	2.98	0.5
115	RASP003	RAS	Raspaillebos	120002	163028	2	1	1	1	4	217	1.07	40.612	14	1	0	4	3	-1	3	1	40.862	1.57	0.5
117	SANP006	SAN	Schansbeemden	216032	191815	2	1	1	1	1	694	1.99	36.53	11	1	0	3	3	-1	4	2	36.79	2.4	0.3
118	SBBP002	SBB	Steenbergse bossen	109983	170962	2	1	1	1	4	89	1.19	51.227	14	1	0	3	3	-1	4	2	52.147	2.26	0.3
119	SCPP036	SCP	Scheps	205976	204000	2	1	1	1	3	886	1.78	29.74	13	1	0	2	3	1	3	1	29.94	1.98	0
120	SCPP039	SCP	Scheps	206669	204706	2	1	1	1	3	886	1.7	30.22	13	1	0	6	3	1	3	1	30.8	2.28	0
122	SCPP050	SCP	Scheps	207566	205767	2	1	1	1	3	886	1.52	31.687	13	1	0	4	3	1	3	1	31.827	1.66	0
124	SHHP031	SHH	Schietveld Houthalen Hechteren	226046	192220	2	1	1	1	3	722	0.89	76.01	13	1	0	2	3	1	3	1	76.69	1.72	0.3
125	SHHP035	SHH	Schietveld Houthalen Hechteren	225904	194393	2	1	1	1	3	210	1.935	77.905	13	1	0	2	3	1	3	1	78.425	2.68	0.45
127	SNOP022	SNO	Snoekengracht	183102	169452	2	1	1	1	4	390	1.41	57.25	14	1	0	4	3	1	3	1	57.54	1.85	0.3
130	SNOP029	SNO	Snoekengracht	183348	169465	2	1	1	1	4	390	1.02	56.19	14	1	0	3	3	1	3	1	56.49	1.47	0.3
131	SNOP031	SNO	Snoekengracht	183313	169446	2	1	1	1	4	390	0.76	56.32	14	1	0	5	3	1	3	1	56.65	1.24	0.3
132	SNOP032	SNO	Snoekengracht	183056	169524	2	1	1	1	4	390	1.9	57.89	14	1	0	2	3	1	3	1	58.18	2.34	0.3
133	SNOP126	SNO	Snoekengracht	183237	169449	2	1	1	1	4	390	2.93	56.28	14	1	0	6	3	1	3	1	56.51	3.31	0.3
135	TEUP028	TEU	De Teut	224721	188606	2	1	1	1	1	722	0.95	60.236	11	1	0	3	3	1	3	1	60.716	1.58	0.3
136	TEUP043	TEU	De Teut	223696	188700	2	1	1	1	1	722	1.41	59.753	11	1	0	2	3	1	3	1	60.053	1.86	0.3
139	TLAP001	TLA	Terlaemen & Weijerman	213998	188072	2	1	1	1	1	694	2.12	32.213	11	1	0	2	3	-1	4	2	32.923	2.98	0.3
142	TLAP004	TLA	Terlaemen & Weijerman	214019	187879	2	1	1	1	3	694	2.06	32.845	13	1	0	3	3	1	4	2	33.295	2.66	0.3
144	TYDP004	TYD	Ter Yde	33126	203530	2	1	1	1	4	817	1.781	5.911	14	1	0	4	3	1	1	6	6.531	2.901	1
145	TYDP012	TYD	Ter Yde	33155	203402	2	1	1	1	4	817	2.5	5.94	14	1	0	12	3	1	3	1	6.23	2.94	0.3
146	TYDP054	TYD	Ter Yde	32617	203691	2	1	1	1	4	817	2.82	7.14	14	1	0	7	3	1	3	1	7.16	3.09	0.5
147	TYDP055	TYD	Ter Yde	32743	203672	2	1	1	1	4	817	1.36	6.862	14	1	0	5	3	1	4	2	6.762	1.46	0.4
148	TYDP058	TYD	Ter Yde	32486	203672	2	1	1	1	4	817	1.71	6.706	14	1	0	13	3	1	4	2	6.726	1.98	0.5
149	TYDP059	TYD	Ter Yde	32669	203788	2	1	1	1	4	817	1.69	6.54	14	1	0	8	3	1	3	1	6.44	1.84	0.5
150	TYDP071	TYD	Ter Yde	33667	203943	2	1	1	1	4	817	1.41	5.41	14	1	0	6	3	1	4	2	5.46	1.71	0.5
151	TYDP072	TYD	Ter Yde	33571	203880	2	1	1	1	4	817	1.525	5.61	14	1	0	11	3	1	3	1	5.51	1.575	0.3
152	TYDP203	TYD	Ter Yde	33046	203477	2	1	1	1	4	817	1.185	5.788	14	1	0	2	3	1	4	2	5.858	1.47	0.43
154	TYDP206	TYD	Ter Yde	33673	203910	2	1	1	1	4	817	1.465	5.25	14	1	0	9	3	1	4	2	5.39	1.83	0.45
155	UKPP026	UKP	Uitkerkse Polder	64020	221053	2	1	1	1	3	693	1.54	2	13	1	0	3	3	1	4	2	2.26	2.3	1
157	VDBP004	VDB	Vallei van de Drie Beken	198401	189278	2	1	1	1	3	54	0.92	19.69	13	1	0	2	3	1	3	1	20.43	1.86	0.4
158	VDBP018	VDB	Vallei van de Drie Beken	202838	192210	2	1	1	1	3	438	1.86	22.057	13	1	0	4	3	1	3	1	22.487	2.49	0.4
162	VDBP531	VDB	Vallei van de Drie Beken	197880	189431	2	1	1	1	3	54	0.57	19.47	13	1	0	3	3	1	3	1	19.78	1.03	0.3
163	VENP006	VEN	De Vennen	208317	206290	2	1	1	1	3	886	1.09	33.318	13	1	0	7	3	1	3	1	33.658	1.58	0.3
164	VENP009	VEN	De Vennen	208455	206286	2	1	1	1	3	886	1.31	32.53	13	1	0	5	3	1	4	2	32.89	1.67	0
165	VENP010	VEN	De Vennen	208440	206098	2	1	1	1	3	886	1.15	32.59	13	1	0	3	3	1	3	1	33.44	2	0
168	VIEP106	VIE	Vierkensbroek-Demervallei	192282	188686	2	1	1	1	2	310	1.69	16.8	12	1	0	3	3	-1	4	2	17.15	2.19	0.3
169	VIEP107	VIE	Vierkensbroek-Demervallei	192278	188526	2	1	1	1	2	310	1.89	16.897	12	1	0	4	3	-1	4	2	17.387	2.53	0.3
171	VIEP118	VIE	Vierkensbroek-Demervallei	192266	188817	2	1	1	1	2	310	0.66	16.77	12	1	0	5	3	-1	4	2	17.09	1.13	0.3
172	VIEP173	VIE	Vierkensbroek-Demervallei	192713	188703	2	1	1	1	2	310	1.89	16.89	12	1	0	2	3	-1	4	2	16.98	2.13	0.3
173	VIEP174	VIE	Vierkensbroek-Demervallei	192711	188697	2	1	1	1	2	310	1.92	16.79	12	1	0	6	3	-1	4	2	16.92	2.2	0.3
174	VINP044	VIN	Het Vinne	203993	170797	2	1	1	1	2	486	1.31	25.771	12	1	0	2	3	-1	3	1	26.181	1.87	0.3
175	VINP084	VIN	Het Vinne	203095	170251	2	1	1	1	2	486	1.88	26.27	12	1	0	3	3	-1	7	7	26.64	2.5	0.5
177	VLBP008	VLB	Vlassenbroekse polder	134033	193680	2	1	1	1	3	169	1.15	2.3	13	1	0	3	3	1	4	2	3.44	2.44	0.3
178	VLBP012	VLB	Vlassenbroekse polder	134945	193069	2	1	1	1	3	169	2.22	1.91	13	1	0	2	3	1	4	2	2.46	3.02	0.5
179	VLBP025	VLB	Vlassenbroekse polder	135142	193040	2	1	1	1	3	169	1.305	1.77	13	1	0	4	3	1	4	2	2.02	1.73	0.35
180	VRIP009	VRI	Vrieselhof	166718	212654	2	1	1	1	1	918	2.35	7.85	11	1	0	3	3	1	4	2	8.45	3.1	0.3
181	VRIP011	VRI	Vrieselhof	166854	212640	2	1	1	1	1	918	1.57	7.77	11	1	0	4	3	1	4	2	8.13	2.08	0.3
183	VRIP039	VRI	Vrieselhof	166653	213046	1	2	1	1	1	918	1.71	8.247	11	1	0	2	3	1	3	1	8.417	2.03	0.3
184	WAHP711	WAH	Waaslandhaven	144524	214863	2	1	1	1	2	41	2.06	2.205	12	1	0	2	3	-1	3	1	2.485	2.59	0.5
187	WEBP036	WEB	Webbekomsbroek	200108	184654	2	1	1	1	2	166	2.05	20.382	12	1	0	4	3	1	3	1	20.802	2.67	0.4
188	WEBP202	WEB	Webbekomsbroek	199709	184801	2	1	1	1	2	166	1.75	19.999	12	1	0	2	3	1	4	2	20.774	2.525	0
189	WEBP210	WEB	Webbekomsbroek	199320	186194	2	1	1	1	3	54	2.135	19.885	13	1	0	4	3	1	3	1	20.145	2.395	0
191	WELP020	WEL	Wellemeersen	128401	177063	2	1	1	1	3	1017	2.29	8.69	13	1	0	3	3	-1	4	2	9.26	3.01	0.3
192	WELP022	WEL	Wellemeersen	128519	176887	2	1	1	1	3	1017	1.02	8.2	13	1	0	2	3	-1	4	2	8.67	1.64	0.3
193	WELP034	WEL	Wellemeersen	129060	176759	2	1	1	1	3	505	1.4	8.89	13	1	0	2	3	-1	4	2	9.39	2.05	0.3
195	WERP001	WER	De Werft	193281	194778	2	1	1	1	1	822	1.89	0	11	1	0	6	3	1	3	1	0.45	2.34	0
196	WERP002	WER	De Werft	193300	194752	2	1	1	1	1	822	1.77	0	11	1	0	10	3	1	3	1	0.55	2.32	0
197	WERP003	WER	De Werft	193271	194588	2	1	1	1	1	822	1.7	0	11	1	0	7	3	1	3	1	0.65	2.35	0
198	WERP004	WER	De Werft	193302	194696	2	1	1	1	1	822	1.62	0	11	1	0	8	3	1	3	1	0.72	2.34	0
199	WERP005	WER	De Werft	193360	194613	2	1	1	1	3	822	1.65	0	13	1	0	3	3	1	3	1	0.65	2.3	0
200	WERP007	WER	De Werft	193544	194610	2	1	1	1	3	822	1.78	0	13	1	0	6	3	1	3	1	0.9	2.68	0
201	WERP009	WER	De Werft	193488	194562	2	1	1	1	1	822	1.73	0	11	1	0	9	3	1	3	1	0.54	2.27	0
202	WERP011	WER	De Werft	193419	194740	2	1	1	1	1	822	1.48	0	11	1	0	5	3	1	3	1	0.42	1.9	0
204	WESP001	WES	Westhoek	23482	199360	2	1	1	1	4	177	1.02	5.35	14	2	0	6	3	1	3	1	5.45	1.37	0.5
206	WESP003	WES	Westhoek	23288	198961	2	1	1	1	4	177	1.66	5.98	14	2	0	15	3	1	3	1	5.99	1.92	0.5
207	WESP005	WES	Westhoek	23086	198942	2	1	1	1	4	177	1.72	5.49	14	2	0	7	3	1	3	1	5.57	2.05	0.5
208	WESP007	WES	Westhoek	23034	198650	2	1	1	1	4	177	1.82	5.95	14	2	0	5	3	1	3	1	5.98	2.1	0.5
210	WESP014	WES	Westhoek	22737	199289	2	1	1	1	4	177	0.59	5.22	14	2	0	11	3	1	3	1	6.07	1.69	0.5
211	WESP018	WES	Westhoek	23813	199363	2	1	1	1	4	177	1.55	5.47	14	2	0	3	3	1	3	1	5.44	1.77	0.5
212	WESP078	WES	Westhoek	23436	199686	2	1	1	1	4	177	2.77	6.41	14	2	0	10	3	1	3	1	6.41	3.02	0.5
214	WESP097	WES	Westhoek	23408	198956	2	1	1	1	4	177	1.72	6.01	14	2	0	8	3	1	3	1	6.57	2.53	0.5
215	WESP111	WES	Westhoek	23304	198193	2	1	1	1	4	177	1.35	5.39	14	2	0	14	3	1	3	1	5.39	1.6	0.5
216	WESP119	WES	Westhoek	23171	198331	2	1	1	1	4	177	1.89	5.87	14	2	0	13	3	1	3	1	5.9	2.17	0.5
217	WESP132	WES	Westhoek	22965	199052	2	1	1	1	4	177	2.83	5.47	14	2	0	12	3	1	3	1	5.49	3.1	0.5
218	WESP134	WES	Westhoek	22885	198920	2	1	1	1	4	177	0.65	5.59	14	2	0	16	3	1	3	1	5.69	1	0.5
219	WESP141	WES	Westhoek	22742	198998	2	1	1	1	4	177	2.86	5.5	14	2	0	9	3	1	3	1	5.57	3.18	0.5
220	WESP302	WES	Westhoek	23338	199132	2	1	1	1	4	177	1.5	5.41	14	2	0	4	3	1	3	1	5.38	1.72	0.5
221	ZABP003	ZAB	Zammelsbroek	191644	198520	2	1	1	1	3	822	1.78	14.776	13	1	0	5	3	1	4	2	14.866	2.02	0.3
222	ZABP004	ZAB	Zammelsbroek	191712	198448	2	1	1	1	3	822	1.6	14.78	13	1	0	4	3	1	3	1	15.47	2.49	0.4
223	ZABP005	ZAB	Zammelsbroek	191734	198418	2	1	1	1	3	822	0.58	14.7	13	1	0	8	3	1	4	2	15.56	1.64	0.4
224	ZABP006	ZAB	Zammelsbroek	191153	198420	2	1	1	1	3	822	2.97	14.529	13	1	0	9	3	1	3	1	14.989	3.58	0.3
225	ZABP013	ZAB	Zammelsbroek	191535	198711	2	1	1	1	3	822	2.09	14.77	13	1	0	2	3	1	7	7	14.97	2.49	0.4
227	ZABP022	ZAB	Zammelsbroek	193188	199206	2	1	1	1	1	822	1.05	15.76	11	1	0	2	3	1	3	1	16.05	1.54	0.4
228	ZABP023	ZAB	Zammelsbroek	193145	199376	2	1	1	1	3	822	1.58	15.7	13	1	0	7	3	1	1	6	16.58	2.66	0.4
230	ZEBP046	ZEB	Zeebrugge	69422	220210	2	1	1	1	3	693	0.5	2.6282	13	1	0	2	3	1	3	1	3.3782	1.75	1
231	ZEMP005	ZEM	Zemst	158392	184259	2	1	1	1	4	710	2.52	7.663	14	1	0	2	3	1	3	1	8.223	3.08	0
232	ZIEP022	ZIE	Ziepbeekvallei	238643	180318	2	1	1	1	3	1010	0.57	68.515	13	1	0	3	3	1	3	1	68.945	1.15	0.3
233	ZIEP179	ZIE	Ziepbeekvallei	239177	180268	2	1	1	1	3	1010	1.52	56.114	13	1	0	2	3	1	4	2	56.494	2.4	1
235	ZUVP020	ZUV	Zuunvallei	142603	164595	2	1	1	1	4	441	2	23.58	14	1	0	2	3	-1	5	4	24	2.92	1
237	ZWAP200	ZWA	Zwarte Beek	217985	197987	2	1	1	1	1	950	1.74	63.003	11	1	0	4	3	1	3	1	63.663	2.55	0.3
238	ZWAP208	ZWA	Zwarte Beek	218005	198226	2	1	1	1	1	950	1.1	59.288	11	1	0	3	3	1	3	1	59.938	1.9	0.3
239	ZWAP216	ZWA	Zwarte Beek	218514	198727	2	1	1	1	1	950	1.14	57.93	11	1	0	2	3	1	1	6	58.78	2.14	0.3
242	ZWAP234	ZWA	Zwarte Beek	217054	198920	2	1	1	1	3	950	1.1	57.699	13	1	0	2	3	1	3	1	58.209	1.76	0.3
243	ZWAP300	ZWA	Zwarte Beek	213086	204149	2	1	1	1	3	630	0.815	44.593	13	1	0	5	3	1	3	1	45.208	1.58	0.3
244	ZWAP301	ZWA	Zwarte Beek	213467	203688	2	1	1	1	3	630	0.94	47.298	13	1	0	3	3	1	3	1	47.738	1.63	0.5
246	ZWAP304	ZWA	Zwarte Beek	214442	205517	2	1	1	1	1	630	1.41	45.063	11	1	0	2	3	1	3	1	45.423	2.02	0.5
247	ZWAP305	ZWA	Zwarte Beek	214503	203705	2	1	1	1	3	630	1.27	49.791	13	1	0	4	3	1	3	1	50.271	2	0.5
248	ZWAP306	ZWA	Zwarte Beek	215123	203590	2	1	1	1	3	630	1.11	51.375	13	1	0	2	3	1	3	1	51.915	1.9	0.5
249	ZWAP309	ZWA	Zwarte Beek	215657	205459	2	1	1	1	1	630	0.92	47.748	11	1	0	4	3	1	3	1	48.318	1.64	0.3
250	ZWAP332	ZWA	Zwarte Beek	208201	190059	2	1	1	1	3	438	1.75	25.21	13	1	0	3	3	1	4	2	25.68	2.37	0.3
251	ZWAP335	ZWA	Zwarte Beek	208176	190160	2	1	1	1	3	438	1.85	25.19	13	1	0	2	3	1	4	2	25.49	2.3	0.3
252	ZWBP011	ZWB	Zwalmbeek	107248	173411	2	1	1	1	4	89	2.25	20.32	14	1	0	4	3	-1	4	2	20.32	3.5	2.5
253	ZWBP013	ZWB	Zwalmbeek	107282	173439	2	1	1	1	4	89	1.75	20.23	14	1	0	2	3	-1	4	2	20.23	3	2.5
254	ZWBP014	ZWB	Zwalmbeek	107312	173473	2	1	1	1	4	89	1.75	20.17	14	1	0	6	3	-1	4	2	20.17	3	2.5
255	ZWBP017	ZWB	Zwalmbeek	107421	173519	2	1	1	1	4	89	1.75	32.07	14	1	0	5	3	-1	4	2	32.07	3	2.5
