loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength	firstyear	lastyear	nryears	cat	gew_aantal_meetptn	n	rankclus_lastyear	rankclus_nryears	rankclus	beschikbaar_aantal_cluster	unieknr	geselecteerd	reserve	selectie
ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	2	1	1	1	4	601	0.7	17.63	4	4	2	18.33	1.55	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	3	1	0	1
ARHP009	ARH	Aronst Hoek	203834	177051	1	2	1	1	2	486	1.95	24.01	3	6	3	24.31	2.4	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	4	1	0	-1
ASBP003	ASB	Asbeek	238036	179497	2	1	1	1	3	1010	0.95	75.391	2	3	1	75.931	1.64	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	6	1	0	1
BOEP003	BOE	Boembeke	107334	170403	2	1	1	1	4	89	2.8	0	4	4	2	0.6	3.4	0	NA	NA	NA	3	1	NA	NA	NA	NA	NA	9	1	0	-1
BRAP009	BRA	Bos van Ranst	165408	210432	2	1	1	1	4	918	0.61	9.24	4	5	4	9.93	1.9	1.2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	12	1	0	-1
BTRP001	BTR	Bos ter Rijst	101924	164018	2	1	1	1	4	25	2.02	68.02	4	4	2	68.17	2.32	0.3	2003	2019	100	2	1	1	1	1	1	1	NA	NA	NA	1
BUCP010	BUC	Buckenslinde	229690	170679	2	1	1	1	3	818	1.33	0	2	4	2	0.57	3.8	3.8	2003	0	0	2	1	1	1	1	1	1	NA	NA	NA	-1
COOP001	COO	Coolhembos	146113	196127	2	1	1	1	1	233	1.25	1.96	5	3	1	2.56	2	0.3	2006	2019	100	2	1	1	1	1	1	1	NA	NA	NA	1
DORP002	DOR	Dorent	154427	193391	2	1	1	1	3	790	1.15	3.8	2	4	2	4.94	2.44	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	16	1	0	1
DORP024	DOR	Dorent	154823	182431	2	1	1	1	4	710	2.56	9.8	4	1	6	10.17	3.08	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	18	1	0	1
DPBP007	DPB	Diepenbeek	221649	179772	2	1	1	1	2	306	2.01	-0.55	3	3	1	0	2.76	0.4	NA	0	0	2	1	1	1	1	1	1	NA	NA	NA	-1
DUNP012	DUN	Dunbergbroek	178707	179625	2	1	1	1	4	134	1.53	18.29	4	3	1	19.08	2.32	0	NA	NA	NA	3	1	NA	NA	NA	NA	NA	21	1	0	1
DYLP029	DYL	Dijlevallei	169238	167404	2	1	1	1	2	262	1.29	27	3	3	1	27.42	1.86	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	24	1	0	1
DYLP037	DYL	Dijlevallei	169802	167510	2	1	1	1	4	582	0.97	27.99	4	3	1	28.42	1.55	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	25	1	0	1
GSCP017	GSC	Groot Schietveld	167657	229201	2	1	1	1	3	478	1.66	18.51	2	4	2	19.01	2.41	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	38	1	0	1
HAGP019	HAG	Hageven	224064	217725	2	1	1	1	2	274	1.811	34.401	3	4	2	34.611	2.271	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	42	1	0	1
HAGP023	HAG	Hageven	222955	217220	2	1	1	1	3	274	1.87	35.77	2	4	2	36.08	2.33	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	43	1	0	1
HALP001	HAL	Hallerbos	143431	155389	2	1	1	1	4	185	1.87	74.762	4	4	2	74.902	2.16	0.3	NA	NA	NA	3	2	NA	NA	NA	NA	NA	44	1	0	-1
HALP005	HAL	Hallerbos	144281	156162	2	1	1	1	4	185	1.81	68.573	4	3	1	68.673	2.06	0.3	NA	NA	NA	3	2	NA	NA	NA	NA	NA	46	1	0	-1
HBTP007	HBT	Helderbeekvallei Terril	212986	193133	2	1	1	1	3	694	1.75	33.026	2	3	1	33.586	2.46	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	47	1	0	1
IJSP023	IJS	Ijsevallei	166813	166073	2	1	1	1	4	262	1.28	35.804	4	3	1	36.094	1.72	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	50	1	0	1
ITTP212	ITT	Itterbeekvallei	242307	202672	2	1	1	1	1	146	1.99	34.995	5	3	1	35.225	2.37	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	51	1	0	1
KALP136	KAL	Kalmthoutse heide	154423	234049	2	1	1	1	3	734	1.01	17.174	2	3	1	18.514	2.53	0.36	NA	NA	NA	3	1	NA	NA	NA	NA	NA	53	1	0	1
KBRP056	KBR	Polders van Kruibeke	145855	202674	2	1	1	1	2	297	1.53	1.574	3	4	2	2.394	2.6	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	54	1	0	1
KBRP060	KBR	Polders van Kruibeke	145448	202168	2	1	1	1	2	233	1.89	1.693	3	3	1	2.233	2.68	0.5	2001	2019	100	2	1	1	1	1	1	1	NA	NA	NA	1
KEVP015	KEV	De Kevie	229074	163350	2	1	1	1	3	114	2.2	86.13	2	4	2	86.84	2.91	0	2001	0	0	2	1	1	1	1	1	1	NA	NA	NA	-1
LAVP080	LAV	Laanvallei	169100	164579	2	1	1	1	3	262	1.86	29.223	2	3	1	29.663	2.3	0	NA	NA	NA	3	1	NA	NA	NA	NA	NA	59	1	0	1
LDOP019	LDO	Langdonken	184754	191421	2	1	1	1	1	342	1.5	14.16	5	3	1	14.49	1.98	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	60	1	0	1
LDOP041	LDO	Langdonken	186424	191178	2	1	1	1	3	310	2.47	14.544	2	2	5	14.604	2.68	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	62	1	0	1
LOHP015	LOH	Lovenhoek	175526	211989	2	1	1	1	4	214	0.69	10.712	4	3	1	11.572	2.55	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	70	1	0	1
MANP029	MAN	Mangelbeekvallei	220497	193374	2	1	1	1	1	722	1.06	55.418	5	3	1	55.868	1.76	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	72	1	0	1
MATP010	MAT	De Maten	225128	182769	2	1	1	1	1	306	1.97	46.29	5	3	1	46.64	2.57	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	75	1	0	1
MATP011	MAT	De Maten	225382	182289	2	1	1	1	3	306	1.04	44.92	2	3	1	45.34	1.71	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	76	1	0	1
MOEP030	MOE	Moenebroeken	116473	166514	2	1	1	1	3	217	1.35	22.61	2	4	2	22.71	1.6	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	81	1	0	1
MOLP023	MOL	Molenbeekvallei	166621	176753	2	1	1	1	4	454	1.51	26.979	4	3	1	27.339	2.02	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	83	1	0	1
MOMP003	MOM	Mombeekvallei	217918	175452	2	1	1	1	3	230	1.65	33.79	2	5	4	33.79	1.8	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	86	1	0	1
MOMP028	MOM	Mombeekvallei	222496	174765	2	1	1	1	3	50	2.94	39.194	2	3	1	39.584	3.53	0.4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	90	1	0	-1
MOSP015	MOS	De Most	212551	207735	1	2	1	1	1	630	1.26	39.662	5	3	1	40.102	1.95	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	91	1	0	1
MSBP007	MSB	Molenstedebroek	194938	187299	2	1	1	1	2	54	1.664	18.587	3	3	1	19.073	2.4	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	97	1	0	-1
NEIP001	NEI	Neigembos	128122	167393	2	1	1	1	4	57	1.23	0	4	3	1	0.31	1.79	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	102	1	0	-1
ORCP011	ORC	De Orchis	139864	196932	2	1	1	1	3	745	1.14	4.793	2	4	2	5.903	2.4	0.3	NA	NA	NA	3	2	NA	NA	NA	NA	NA	106	1	0	1
ORCP012	ORC	De Orchis	139863	196973	2	1	1	1	3	745	0.95	4.89	2	4	2	4.9	1.11	0.3	NA	NA	NA	3	2	NA	NA	NA	NA	NA	107	1	0	1
PARP003	PAR	Parike-bos	109730	163542	2	1	1	1	4	985	1.98	54.05	4	3	1	54.27	2.45	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	110	1	0	1
RASP002	RAS	Raspaillebos	120111	162861	2	1	1	1	4	217	0.81	56.155	4	3	1	56.755	1.66	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	114	1	0	-1
ROTP003	ROT	Rotbroek	200403	185618	2	1	1	1	2	166	1.29	19.306	3	3	1	19.546	1.68	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	116	1	0	1
SCPP042	SCP	Scheps	205315	204593	2	1	1	1	3	886	1.41	29.23	2	3	1	29.69	1.87	0	NA	NA	NA	3	1	NA	NA	NA	NA	NA	121	1	0	1
SCPP051	SCP	Scheps	206919	205056	2	1	1	1	2	886	1.99	30.547	3	3	1	31.147	2.59	0	NA	NA	NA	3	1	NA	NA	NA	NA	NA	123	1	0	1
SILP004	SIL	Silsombos	164843	178240	2	1	1	1	4	198	1.36	20.684	4	3	1	21.084	1.91	0.3	NA	NA	NA	3	2	NA	NA	NA	NA	NA	126	1	0	1
SNOP129	SNO	Snoekengracht	183331	169489	2	1	1	1	4	390	2.85	56.33	4	3	1	56.61	3.28	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	134	1	0	1
SWPP032	SWP	Scheldemeersen Wortegem-Petege	94675	169402	2	1	1	1	4	537	1.53	10.09	4	3	1	10.47	2.06	0.3	2010	2019	100	2	1	1	1	1	1	1	NA	NA	NA	1
TEUP045	TEU	De Teut	225036	188792	2	1	1	1	3	722	0.89	62.007	2	3	1	62.697	1.73	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	137	1	0	1
TIEP026	TIE	Militair domein Tielen	189050	217720	2	1	1	1	1	1014	1.99	17.92	5	3	1	18.45	2.67	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	138	1	0	1
TLAP003	TLA	Terlaemen & Weijerman	214025	187912	2	1	1	1	1	694	1.31	32.583	5	4	2	33.033	1.91	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	141	1	0	-1
TORP018	TOR	Torfbroek	162023	179712	2	1	1	1	4	198	0.27	16.313	4	3	1	16.963	1.07	0.3	NA	NA	NA	3	2	NA	NA	NA	NA	NA	143	1	0	1
TYDP204	TYD	Ter Yde	33222	203448	2	1	1	1	4	817	1.79	5.51	4	3	1	5.6	2.13	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	153	1	0	1
UKPP029	UKP	Uitkerkse Polder	64241	219799	2	1	1	1	3	693	2	2.1	2	4	2	2.2	2.6	1	NA	NA	NA	3	1	NA	NA	NA	NA	NA	156	1	0	1
VDBP506	VDB	Vallei van de Drie Beken	202732	191923	2	1	1	1	3	438	1.46	21.73	2	4	2	22.02	1.9	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	159	1	0	1
VDBP513	VDB	Vallei van de Drie Beken	202202	191476	2	1	1	1	3	54	1.7	31.7	2	4	2	31.95	2.1	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	160	1	0	1
VDBP514	VDB	Vallei van de Drie Beken	202304	191370	2	1	1	1	2	438	1.62	21.53	3	3	1	21.76	2	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	161	1	0	1
VIEP117	VIE	Vierkensbroek-Demervallei	192297	188970	2	1	1	1	2	310	0.55	16.78	3	4	2	16.91	0.83	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	170	1	0	-1
VLBP001	VLB	Vlassenbroekse polder	134476	192715	2	1	1	1	3	169	1.35	1.66	2	3	1	2.69	2.68	0.6	NA	NA	NA	3	1	NA	NA	NA	NA	NA	176	1	0	1
VRIP013	VRI	Vrieselhof	166733	212477	2	1	1	1	1	918	1.61	7.83	5	4	2	8.16	2.09	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	182	1	0	1
WAHP712	WAH	Waaslandhaven	144656	214876	2	1	1	1	2	41	1.59	1.712	3	3	1	2.452	2.58	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	185	1	0	-1
WALP118	WAL	Walenbos	186105	180248	2	1	1	1	4	934	1.61	25.422	4	4	2	25.702	2.04	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	186	1	0	1
WELP018	WEL	Wellemeersen	128284	176954	2	1	1	1	3	1017	2.48	8.86	2	4	2	9.24	3.01	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	190	1	0	-1
WELP035	WEL	Wellemeersen	129144	176660	2	1	1	1	3	505	1.51	9.06	2	7	7	9.36	1.96	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	194	1	0	-1
WERP012	WER	De Werft	192332	194448	2	1	1	1	1	822	2.21	0	5	3	1	0.11	2.32	0	NA	NA	NA	3	1	NA	NA	NA	NA	NA	203	1	0	1
WESP008	WES	Westhoek	22617	198715	2	1	1	1	4	177	1.2	5.85	4	3	1	6.25	1.85	0.5	NA	NA	NA	3	2	NA	NA	NA	NA	NA	209	1	0	1
WESP093	WES	Westhoek	22509	198809	2	1	1	1	4	177	1.84	5.58	4	3	1	5.66	2.17	0.5	NA	NA	NA	3	2	NA	NA	NA	NA	NA	213	1	0	1
ZABP014	ZAB	Zammelsbroek	191421	198803	2	1	1	1	3	822	1.3	14.82	2	3	1	16.04	2.72	0.4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	226	1	0	1
ZEBP009	ZEB	Zeebrugge	69111	219114	2	1	1	1	2	693	1.92	3.02	3	3	1	3.6	3	1	NA	NA	NA	3	1	NA	NA	NA	NA	NA	229	1	0	1
ZUVP019	ZUV	Zuunvallei	142606	164589	2	1	1	1	4	441	2	23.92	4	5	4	24.47	3.05	1	NA	NA	NA	3	1	NA	NA	NA	NA	NA	234	1	0	-1
ZWAP141	ZWA	Zwarte Beek	216785	198435	2	1	1	1	1	950	1.96	52.52	5	3	1	52.86	2.45	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	236	1	0	1
ZWAP228	ZWA	Zwarte Beek	217381	197149	2	1	1	1	3	950	1.14	63.265	2	3	1	63.655	1.68	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	240	1	0	1
ZWAP231	ZWA	Zwarte Beek	220110	198031	2	1	1	1	3	210	1.91	66.285	2	3	1	66.695	2.47	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	241	1	0	1
ZWAP303	ZWA	Zwarte Beek	213435	204022	2	1	1	1	3	630	0.8	45.684	2	3	1	46.214	1.58	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	245	1	0	1
