unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	selectie	gew_aantal_meetptn	geselecteerd	reserve
124	VDBP004	VDB	Vallei van de Drie Beken	198401	189278	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	54	1.12	20.43	13	1	1	0	2
128	VDBP531	VDB	Vallei van de Drie Beken	197880	189431	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	54	0.72	19.78	13	1	1	0	3
154	WEBP210	WEB	Webbekomsbroek	199320	186194	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	54	2.135	20.145	13	1	1	0	4
10	BUIP023	BUI	Buitengoor	206653	212114	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	118	2.33	31.384	11	1	1	0	2
9	BUIP015	BUI	Buitengoor	206639	212165	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	118	2	31.114	11	1	1	0	3
13	BUIP033	BUI	Buitengoor	206472	212059	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	118	1.8	30.675	11	1	1	0	4
16	DUNP010	DUN	Dunbergbroek	178354	180655	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	134	2.06	16.054	14	1	1	0	2
153	WEBP202	WEB	Webbekomsbroek	199709	184801	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	166	1.75	20.774	12	1	1	0	2
26	GOBP004	GOB	Gorenbroek	201885	184397	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	166	2.26	20.4131	12	1	1	0	3
152	WEBP036	WEB	Webbekomsbroek	200108	184654	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	166	2.26	20.57	12	1	1	0	4
174	WESP093	WES	Westhoek	22509	198809	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	2.09	5.66	14	1	1	0	2
173	WESP018	WES	Westhoek	23813	199363	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.8	5.44	14	1	1	0	3
179	WESP302	WES	Westhoek	23338	199132	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.75	5.38	14	1	1	0	4
170	WESP007	WES	Westhoek	23034	198650	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	2.07	5.98	14	1	1	0	5
169	WESP005	WES	Westhoek	23086	198942	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.97	5.57	14	1	1	0	6
175	WESP097	WES	Westhoek	23408	198956	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.97	6.57	14	1	1	0	7
172	WESP014	WES	Westhoek	22737	199289	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	0.84	6.07	14	1	1	0	8
177	WESP119	WES	Westhoek	23171	198331	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	2.14	5.9	14	1	1	0	9
176	WESP111	WES	Westhoek	23304	198193	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.6	5.39	14	1	1	0	10
168	WESP003	WES	Westhoek	23288	198961	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.91	5.99	14	1	1	0	11
178	WESP134	WES	Westhoek	22885	198920	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	0.9	5.69	14	1	1	0	12
6	BELP010	BEL	de Belv<e9>d<e8>re	27947	199669	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	1.6	4.73	15	1	1	0	2
5	BELP004	BEL	de Belv<e9>d<e8>re	28016	199778	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	2.47	5.47	15	1	1	0	3
92	SHHP035	SHH	Schietveld Houthalen Hechteren	225904	194393	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	210	2.16	78.211	13	1	1	0	2
53	MOEP011	MOE	Moenebroeken	116115	166574	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	217	2.59	0.45	13	1	1	0	2
47	LAVP080	LAV	Laanvallei	169110	164590	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	262	1.85	29.68	12	1	1	0	2
19	DYLP021	DYL	Dijlevallei	169440	167581	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	262	2.21	28.21	13	1	1	0	2
42	IJSP003	IJS	Ijsevallei	163141	164523	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	262	0.98	7.04	13	1	1	0	3
18	DYLP020	DYL	Dijlevallei	169378	167510	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	262	1.99	27.48	13	1	1	0	4
46	LAVP060	LAV	Laanvallei	168105	164098	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	262	1.87	31.41	13	1	1	0	5
24	DYLP073	DYL	Dijlevallei	169323	167496	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	262	1.76	27.61	13	1	1	0	6
21	DYLP066	DYL	Dijlevallei	169359	167629	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	262	2.355	27.435	13	1	1	0	7
25	DYLP156	DYL	Dijlevallei	169478	166091	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	262	1.99	28.432	13	1	1	0	8
50	MATP003	MAT	De Maten	224779	181757	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	306	1.13	42.28	11	1	1	0	2
52	MATP015	MAT	De Maten	226040	183424	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	306	0.88	49.66	11	1	1	0	3
207	ZWIP014	ZWI	Zwinduinen en -polders	78202	228291	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	309	1.89	6.07	15	1	1	0	2
210	ZWIP042	ZWI	Zwinduinen en -polders	79233	228121	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	309	2.37	5	15	1	1	0	3
208	ZWIP033	ZWI	Zwinduinen en -polders	77640	228329	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	309	2.42	5.26	15	1	1	0	4
49	LDOP035	LDO	Langdonken	185221	191291	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	342	1.92	14.57	11	1	1	0	2
98	SNOP032	SNO	Snoekengracht	183056	169524	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	2.05	58.18	14	1	1	0	2
96	SNOP029	SNO	Snoekengracht	183348	169465	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	1.17	56.49	14	1	1	0	3
93	SNOP022	SNO	Snoekengracht	183102	169452	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	1.56	57.54	14	1	1	0	4
97	SNOP031	SNO	Snoekengracht	183313	169446	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	0.91	56.65	14	1	1	0	5
94	SNOP025	SNO	Snoekengracht	183238	169448	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	1.02	56.63	14	1	1	0	6
203	ZWAP335	ZWA	Zwarte Beek	208176	190160	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	438	2	25.49	13	1	1	0	2
202	ZWAP332	ZWA	Zwarte Beek	208201	190059	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	438	1.9	25.68	13	1	1	0	3
125	VDBP018	VDB	Vallei van de Drie Beken	202838	192210	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	438	2.06	22.487	13	1	1	0	4
55	MOLP018	MOL	Molenbeekvallei	167135	177145	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	454	1.49	25.82	14	1	1	0	2
58	MOLP025	MOL	Molenbeekvallei	166664	176724	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	454	1.62	27.095	14	1	1	0	3
57	MOLP024	MOL	Molenbeekvallei	166641	176739	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	454	1.58	27.234	14	1	1	0	4
144	VISP015	VIS	Visbeekvallei	180942	217539	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	470	1.141	17.511	11	1	1	0	2
145	VISP017	VIS	Visbeekvallei	181257	217859	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	470	1.59	17.991	11	1	1	0	3
28	GSCP007	GSC	Groot Schietveld	167540	229836	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	478	2.12	18.43	13	1	1	0	2
32	GSCP011	GSC	Groot Schietveld	167660	229863	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	478	2.2	18.45	13	1	1	0	3
34	GSCP020	GSC	Groot Schietveld	167682	229188	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	478	2.48	18.52	13	1	1	0	4
27	GSCP002	GSC	Groot Schietveld	167621	229841	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	478	1.98	18.53	13	1	1	0	5
29	GSCP008	GSC	Groot Schietveld	167490	229826	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	478	2.47	18.77	13	1	1	0	6
36	GSCP024	GSC	Groot Schietveld	168020	229769	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	478	1.93	19.69	13	1	1	0	7
35	GSCP021	GSC	Groot Schietveld	167691	229182	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	478	1.92	18.89	13	1	1	0	8
30	GSCP009	GSC	Groot Schietveld	167459	229809	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	478	1.7	0.8	13	1	1	0	9
1	ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	601	1.2	13.8	14	1	1	0	2
198	ZWAP304	ZWA	Zwarte Beek	214442	205517	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	630	1.66	45.423	11	1	1	0	2
60	MOSP016	MOS	De Most	212638	207858	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	630	1.08	40.501	11	1	1	0	3
201	ZWAP309	ZWA	Zwarte Beek	215657	205459	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	630	1.07	48.318	11	1	1	0	4
200	ZWAP306	ZWA	Zwarte Beek	215123	203590	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	630	1.36	51.915	13	1	1	0	2
196	ZWAP301	ZWA	Zwarte Beek	213467	203688	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	630	1.19	47.738	13	1	1	0	3
199	ZWAP305	ZWA	Zwarte Beek	214503	203705	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	630	1.52	50.271	13	1	1	0	4
195	ZWAP300	ZWA	Zwarte Beek	213086	204149	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	630	0.965	45.208	13	1	1	0	5
187	ZEBP046	ZEB	Zeebrugge	69422	220210	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	693	1	3.3782	13	1	1	0	2
117	UKPP026	UKP	Uitkerkse Polder	64020	221053	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	693	2.04	2.26	13	1	1	0	3
121	UKPP033	UKP	Uitkerkse Polder	63326	220765	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	693	1	2.31	15	1	1	0	2
116	UKPP024	UKP	Uitkerkse Polder	64131	220125	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	693	1	2.22	15	1	1	0	3
119	UKPP030	UKP	Uitkerkse Polder	63295	219347	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	693	1	2.86	15	1	1	0	4
122	UKPP034	UKP	Uitkerkse Polder	63040	221589	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	693	1.85	3.09	15	1	1	0	5
120	UKPP032	UKP	Uitkerkse Polder	63399	220470	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	693	1	2.48	15	1	1	0	6
44	LAAP003	LAA	Laambroeken	218524	190066	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	694	2.06	40.583	13	1	1	0	2
103	TLAP004	TLA	Terlaemen & Weijerman	214019	187879	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	694	2.21	33.295	13	1	1	0	3
41	HBTP008	HBT	Helderbeekvallei Terril	212972	193186	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	694	0.55	33.645	13	1	1	0	4
77	ORCP013	ORC	De Orchis	139861	197002	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	745	1.26	4.808	13	1	2	0	3
113	TYDP203	TYD	Ter Yde	33046	203477	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.4	5.858	14	1	1	0	2
104	TYDP004	TYD	Ter Yde	33126	203530	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	2.281	6.531	14	1	1	0	3
108	TYDP055	TYD	Ter Yde	32743	203672	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.56	6.762	14	1	1	0	4
111	TYDP071	TYD	Ter Yde	33667	203943	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.66	5.46	14	1	1	0	5
110	TYDP059	TYD	Ter Yde	32669	203788	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.53	6.38	14	1	1	0	6
115	TYDP206	TYD	Ter Yde	33673	203910	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.69	5.39	14	1	1	0	7
112	TYDP072	TYD	Ter Yde	33571	203880	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.675	5.51	14	1	1	0	8
105	TYDP012	TYD	Ter Yde	33155	203402	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	2.65	6.187	14	1	1	0	9
109	TYDP058	TYD	Ter Yde	32486	203672	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.96	6.726	14	1	1	0	10
106	TYDP031	TYD	Ter Yde	33253	203328	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	817	2.74	6.36	15	1	1	0	2
185	ZABP022	ZAB	Zammelsbroek	193188	199206	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	822	1.25	16.05	11	1	1	0	2
15	DEMP011	DEM	de Merode-Herselt	190657	194916	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	822	2	15.76	11	1	1	0	3
14	DEMP007	DEM	de Merode-Herselt	190806	194941	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	822	2.22	16.34	11	1	1	0	4
165	WERP011	WER	De Werft	193419	194740	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	822	1.48	0.42	11	1	1	0	5
158	WERP001	WER	De Werft	193281	194778	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	822	1.89	0.45	11	1	1	0	6
160	WERP003	WER	De Werft	193271	194588	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	822	1.7	0.65	11	1	1	0	7
161	WERP004	WER	De Werft	193302	194696	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	822	1.62	0.72	11	1	1	0	8
164	WERP009	WER	De Werft	193488	194562	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	822	1.73	0.54	11	1	1	0	9
159	WERP002	WER	De Werft	193300	194752	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	822	1.77	0.55	11	1	1	0	10
183	ZABP013	ZAB	Zammelsbroek	191535	198711	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	822	2.29	14.97	13	1	1	0	2
162	WERP005	WER	De Werft	193360	194613	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	822	1.65	0.65	13	1	1	0	3
181	ZABP004	ZAB	Zammelsbroek	191712	198448	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	822	1.8	15.47	13	1	1	0	4
180	ZABP003	ZAB	Zammelsbroek	191644	198520	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	822	1.93	14.866	13	1	1	0	5
163	WERP007	WER	De Werft	193544	194610	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	822	1.78	0.9	13	1	1	0	6
186	ZABP023	ZAB	Zammelsbroek	193145	199376	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	822	1.78	16.58	13	1	1	0	7
182	ZABP005	ZAB	Zammelsbroek	191734	198418	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	822	0.78	15.56	13	1	1	0	8
90	SCPP045	SCP	Scheps	206476	204589	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	886	1.83	30.55	11	1	1	0	2
86	SCPP027	SCP	Scheps	205749	204186	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	886	1.86	29.612	11	1	1	0	3
87	SCPP036	SCP	Scheps	205976	204000	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.78	29.94	13	1	1	0	2
132	VENP010	VEN	De Vennen	208440	206098	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.15	33.44	13	1	1	0	3
91	SCPP050	SCP	Scheps	207566	205767	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.52	31.827	13	1	1	0	4
131	VENP009	VEN	De Vennen	208455	206286	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.31	32.89	13	1	1	0	5
88	SCPP039	SCP	Scheps	206669	204706	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.7	30.8	13	1	1	0	6
130	VENP006	VEN	De Vennen	208317	206290	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.24	33.658	13	1	1	0	7
149	VRIP039	VRI	Vrieselhof	166653	213046	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	918	1.86	8.417	11	1	1	0	2
146	VRIP009	VRI	Vrieselhof	166718	212654	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	918	2.5	8.45	11	1	1	0	3
147	VRIP011	VRI	Vrieselhof	166854	212640	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	918	1.72	8.13	11	1	1	0	4
190	ZWAP208	ZWA	Zwarte Beek	218005	198226	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	950	1.25	59.938	11	1	2	0	3
189	ZWAP200	ZWA	Zwarte Beek	217985	197987	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	950	1.89	63.663	11	1	2	0	4
194	ZWAP234	ZWA	Zwarte Beek	217054	198920	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	950	1.25	58.209	13	1	1	0	2
78	PARP002	PAR	Parike-bos	109810	163492	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	985	2.27	63.82	14	1	1	0	2
