unieknr	loc_code	x	y	rasterid	groupnr	ser_length	ser_firstyear	ser_lastyear	ser_nryears	rest_aantal_meetptn	rankclus	rankclus_lastyear	rankclus_nryears	beschikbaar_aantal_cluster	gew_aantal_meetptn	aantal_cat1A	n
241	STAP050	242727	208039	146	1	8	2009	2016	8	1	1	1	1	2	1	0	1
242	SWEP004	57388	213820	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
243	TEUP019	222593	189365	722	3	5	2010	2014	5	1	1	1	1	4	1	0	1
244	TEUP026	224931	188926	722	3	9	2008	2016	9	1	1	1	1	4	1	0	1
245	TEUP043	223696	188700	722	1	10	2007	2016	10	1	1	1	1	4	1	0	1
246	TEUP044	223773	188744	722	1	9	2008	2016	9	1	1	1	1	4	1	0	2
247	TEUP045	225036	188792	722	3	7	2008	2014	7	1	1	1	1	4	1	0	1
248	TEUP046	225067	188690	722	1	9	2008	2016	7	1	1	1	1	4	1	0	1
249	TEUP047	225211	188652	722	1	9	2008	2016	9	1	1	1	1	4	1	0	2
250	TIEP013	188220	218314	1014	1	NA	NA	0	0	1	1	1	1	3	1	0	3
251	TIEP026	189050	217720	1014	1	NA	NA	0	0	1	1	1	1	3	1	0	3
252	TIEP028	187768	217760	1014	1	NA	NA	0	0	1	1	1	1	3	1	0	3
253	TLAP001	213998	188072	694	1	NA	NA	0	0	1	1	1	1	4	1	0	4
254	TLAP002	214024	187912	694	1	NA	NA	0	0	1	1	1	1	4	1	0	4
255	TLAP003	214025	187912	694	1	NA	NA	0	0	1	1	1	1	4	1	0	4
256	TLAP004	214019	187879	694	3	NA	NA	0	0	1	1	1	1	4	1	0	4
257	TRIP001	108233	161429	985	4	NA	NA	0	0	1	1	1	1	7	1	0	7
258	TRIP002	108251	161454	985	4	NA	NA	0	0	1	1	1	1	7	1	0	7
259	TVGP043	189364	226376	46	5	NA	NA	0	0	1	1	1	1	3	1	0	3
260	TYDP004	33126	203530	817	4	9	2004	2012	7	1	1	1	1	13	1	0	4
261	TYDP012	33155	203402	817	4	9	2004	2012	8	1	1	1	1	13	1	0	1
262	TYDP031	33253	203328	817	5	9	2004	2012	8	1	1	1	1	3	1	0	1
263	TYDP050	32403	204128	817	5	12	2001	2012	10	1	1	1	1	3	1	0	1
264	TYDP055	32743	203672	817	4	12	2001	2012	10	1	1	1	1	13	1	0	3
265	TYDP057	32283	204089	817	4	12	2001	2012	10	1	1	1	1	13	1	0	3
266	TYDP058	32486	203672	817	4	12	2001	2012	10	1	1	1	1	13	1	0	3
267	TYDP059	32669	203788	817	4	10	2001	2010	9	1	1	1	1	13	1	0	2
268	TYDP071	33667	203943	817	4	6	2003	2008	6	1	1	1	1	13	1	0	1
269	TYDP072	33571	203880	817	4	10	2001	2010	9	1	1	1	1	13	1	0	2
270	TYDP203	33046	203477	817	4	8	2005	2012	6	1	1	1	1	13	1	0	2
271	TYDP204	33222	203448	817	4	8	2005	2012	7	1	1	1	1	13	1	0	4
272	TYDP206	33673	203910	817	4	8	2005	2012	7	1	1	1	1	13	1	0	4
273	TYDP207	33614	203986	817	4	8	2005	2012	7	1	1	1	1	13	1	0	4
274	TYDP211	32561	203740	817	4	7	2006	2012	6	1	1	1	1	13	1	0	2
275	UKPP010	62897	219857	437	5	NA	NA	0	0	1	1	1	1	4	1	0	4
276	UKPP018	62808	222365	437	5	NA	NA	0	0	1	1	1	1	4	1	0	4
277	UKPP022	62810	221027	437	5	NA	NA	0	0	1	1	1	1	4	1	0	4
278	UKPP024	64131	220125	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
279	UKPP026	64020	221053	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
280	UKPP027	63740	220993	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
281	UKPP029	64241	219799	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
282	UKPP030	63295	219347	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
283	UKPP032	63399	220470	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
284	UKPP033	63326	220765	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
285	UKPP034	63040	221589	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
286	UKPP039	63031	220174	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
287	UKPP041	62079	221594	437	5	NA	NA	0	0	1	1	1	1	4	1	0	4
288	VDBP004	198401	189278	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
289	VDBP006	197919	190065	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
290	VDBP009	203293	191869	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
291	VDBP010	203247	191935	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
292	VDBP011	203554	192681	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
293	VDBP018	202838	192210	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
294	VDBP019	202833	192220	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
295	VDBP023	202886	192471	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
296	VDBP024	202735	192560	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
297	VDBP025	202703	192573	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
298	VDBP026	202693	192575	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
299	VDBP027	202679	192578	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
300	VDBP028	202523	192645	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
301	VDBP029	202514	192646	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
302	VDBP034	202187	191485	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
303	VDBP060	197708	189509	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
304	VDBP061	197714	189500	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
305	VDBP062	197720	189487	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
306	VDBP063	197727	189480	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
307	VDBP064	197749	189457	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
308	VDBP065	197795	189310	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
309	VDBP066	197802	189303	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
310	VDBP503	202669	192582	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
311	VDBP505	202867	192277	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
312	VDBP506	202732	191923	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
313	VDBP507	202452	193007	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
314	VDBP513	202202	191476	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
315	VDBP514	202304	191370	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
316	VDBP530	197658	189602	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
317	VDBP531	197880	189431	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
318	VDBP533	197694	189541	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
319	VDBP534	197776	189450	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
320	VENP005	208256	206362	886	1	5	2012	2016	5	1	1	1	1	3	1	0	1
321	VENP006	208317	206290	886	3	5	2012	2016	5	1	1	1	1	13	1	0	3
322	VENP009	208455	206286	886	3	5	2012	2016	5	1	1	1	1	13	1	0	3
323	VENP010	208440	206098	886	3	5	2012	2016	5	1	1	1	1	13	1	0	3
324	VIEP104	192297	188970	310	2	NA	NA	0	0	1	1	1	1	8	1	0	8
325	VIEP105	192266	188817	310	2	NA	NA	0	0	1	1	1	1	8	1	0	8
326	VIEP106	192282	188686	310	2	NA	NA	0	0	1	1	1	1	8	1	0	8
327	VIEP107	192278	188526	310	2	NA	NA	0	0	1	1	1	1	8	1	0	8
328	VIEP117	192297	188970	310	2	NA	NA	0	0	1	1	1	1	8	1	0	8
329	VIEP118	192266	188817	310	2	NA	NA	0	0	1	1	1	1	8	1	0	8
330	VIEP173	192713	188703	310	2	NA	NA	0	0	1	1	1	1	8	1	0	8
331	VIEP174	192711	188697	310	2	NA	NA	0	0	1	1	1	1	8	1	0	8
332	VINP044	203993	170797	486	2	NA	NA	0	0	1	1	1	1	4	1	0	4
333	VINP084	203095	170251	486	2	NA	NA	0	0	1	1	1	1	4	1	0	4
334	VISP002	181212	217908	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
335	VISP015	180942	217539	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
336	VISP017	181257	217859	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
337	VISP126	179786	215239	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
338	VISP127	179858	215225	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
339	VISP129	179658	215050	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
340	VISP130	179682	214953	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
341	VISP131	179734	214940	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
342	VISP133	179988	214348	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
343	VISP134	179670	214348	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
344	VISP135	179806	214291	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
345	VISP139	179683	214373	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
346	VISP162	179988	214347	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
347	VISP164	179682	214373	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
348	VISP165	179671	214348	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
349	VISP167	179683	214954	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
350	VISP168	179733	214939	470	1	NA	NA	0	0	1	1	1	1	17	1	0	17
351	VOTP003	179848	184688	134	1	6	2007	2012	6	1	1	1	1	4	1	0	1
352	VOTP020	180097	184819	134	1	9	2007	2015	9	1	1	1	1	4	1	0	2
353	VOTP055	179763	184526	134	1	9	2007	2015	9	1	1	1	1	4	1	0	2
354	VRIP009	166718	212654	918	1	NA	NA	0	0	1	1	1	1	4	1	0	4
355	VRIP011	166854	212640	918	1	NA	NA	0	0	1	1	1	1	4	1	0	4
356	VRIP013	166733	212477	918	1	NA	NA	0	0	1	1	1	1	4	1	0	4
357	VRIP039	166653	213046	918	1	NA	NA	0	0	1	1	1	1	4	1	0	4
358	WAHP711	144524	214863	41	2	NA	NA	0	0	1	1	1	1	2	1	0	2
359	WAHP712	144656	214876	41	2	NA	NA	0	0	1	1	1	1	2	1	0	2
360	WALP041	184838	179526	134	1	6	2006	2011	6	1	1	1	1	4	1	0	1
361	WEBP002	199612	185161	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
362	WEBP004	199637	185212	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
363	WEBP005	199821	185265	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
364	WEBP015	199889	184913	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
365	WEBP036	200108	184654	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
366	WEBP048	199637	184675	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
367	WEBP051	199872	184441	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
368	WEBP056	200010	184339	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
369	WEBP062	200217	184250	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
370	WEBP072	200157	184501	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
371	WEBP075	199711	184764	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
372	WEBP078	199703	184919	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
373	WEBP084	199898	184642	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
374	WEBP086	199793	184650	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
375	WEBP202	199709	184801	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
376	WEBP205	199465	185319	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
377	WEBP210	199320	186194	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
378	WELP018	128284	176954	1017	3	NA	NA	0	0	1	1	1	1	3	1	0	3
379	WELP020	128401	177063	1017	3	NA	NA	0	0	1	1	1	1	3	1	0	3
380	WELP022	128519	176887	1017	3	NA	NA	0	0	1	1	1	1	3	1	0	3
381	WERP001	193281	194778	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
382	WERP002	193300	194752	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
383	WERP003	193271	194588	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
384	WERP004	193302	194696	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
385	WERP005	193360	194613	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
386	WERP007	193544	194610	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
387	WERP009	193488	194562	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
388	WERP011	193419	194740	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
389	WERP012	192332	194448	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
390	WESP002	23337	199132	177	4	10	2002	2011	10	1	1	1	1	20	1	0	2
391	WESP003	23288	198961	177	4	12	2001	2012	12	1	1	1	1	20	1	0	11
392	WESP005	23086	198942	177	4	12	2001	2012	12	1	1	1	1	20	1	0	11
393	WESP007	23034	198650	177	4	10	2003	2012	10	1	1	1	1	20	1	0	1
394	WESP008	22617	198715	177	4	12	2001	2012	12	1	1	1	1	20	1	0	11
395	WESP014	22737	199289	177	4	12	2001	2012	12	1	1	1	1	20	1	0	11
396	WESP018	23813	199363	177	4	12	2001	2012	11	1	1	1	1	20	1	0	3
397	WESP031	23984	198297	177	4	11	2001	2011	10	1	1	1	1	20	1	0	2
398	WESP050	23967	198392	177	4	12	2001	2012	12	1	1	1	1	20	1	0	11
399	WESP057	23258	199248	177	4	12	2001	2012	12	1	1	1	1	20	1	0	11
400	WESP073	23786	199218	177	4	12	2001	2012	12	1	1	1	1	20	1	0	11
401	WESP074	23953	199593	177	4	12	2001	2012	12	1	1	1	1	20	1	0	11
402	WESP076	24198	199292	177	4	12	2001	2012	12	1	1	1	1	20	1	0	11
403	WESP080	24394	199119	177	4	12	2001	2012	12	1	1	1	1	20	1	0	11
404	WESP093	22509	198809	177	4	11	2001	2011	11	1	1	1	1	20	1	0	1
405	WESP097	23408	198956	177	4	11	2002	2012	11	1	1	1	1	20	1	0	3
406	WESP111	23304	198193	177	4	11	2002	2012	11	1	1	1	1	20	1	0	3
407	WESP119	23171	198331	177	4	12	2001	2012	12	1	1	1	1	20	1	0	11
408	WESP134	22885	198920	177	4	10	2003	2012	9	1	1	1	1	20	1	0	1
409	WESP302	23338	199132	177	4	9	2003	2011	9	1	1	1	1	20	1	0	1
410	ZABP003	191644	198520	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
411	ZABP004	191712	198448	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
412	ZABP005	191734	198418	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
413	ZABP009	191219	198264	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
414	ZABP013	191535	198711	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
415	ZABP014	191421	198803	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
416	ZABP022	193188	199206	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
417	ZABP023	193145	199376	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
418	ZABP028	191108	198490	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
419	ZABP029	191090	198521	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
420	ZABP030	191063	198584	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
421	ZEBP001	68884	222381	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
422	ZEBP003	69183	221033	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
423	ZEBP005	69921	220751	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
424	ZEBP007	69602	220278	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
425	ZEBP009	69111	219114	693	2	NA	NA	0	0	1	1	1	1	2	1	0	2
426	ZEBP012	69544	221380	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
427	ZEBP013	69544	221381	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
428	ZEBP015	69182	221031	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
429	ZEBP017	69921	220750	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
430	ZEBP019	69725	220669	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
431	ZEBP020	69725	220669	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
432	ZEBP022	69246	220121	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
433	ZEBP023	69246	220122	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
434	ZEBP025	69823	220300	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
435	ZEBP026	69823	220300	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
436	ZEBP045	69280	220151	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
437	ZEBP046	69422	220210	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
438	ZEBP107	65882	224517	693	2	NA	NA	0	0	1	1	1	1	2	1	0	2
439	ZIEP003	238289	181160	1010	1	11	2006	2016	10	1	1	1	1	3	1	0	2
440	ZWAP141	216785	198435	950	1	10	2007	2016	10	2	1	1	1	6	2	0	3
441	ZWAP165	216814	198362	950	1	10	2007	2016	10	2	1	1	1	6	2	0	3
442	ZWAP196	214282	197080	950	1	10	2007	2016	10	2	1	1	1	6	2	0	3
443	ZWAP200	217985	197987	950	1	12	2005	2016	12	2	1	1	1	6	2	0	1
444	ZWAP202	220114	197295	210	3	12	2004	2015	11	1	1	1	1	2	1	0	1
445	ZWAP208	218005	198226	950	1	13	2004	2016	13	2	1	1	1	6	2	0	1
446	ZWAP216	218514	198727	950	1	12	2004	2015	11	2	1	1	1	6	2	0	1
447	ZWAP228	217381	197149	950	3	8	2009	2016	8	1	1	1	1	2	1	0	1
448	ZWAP229	220479	196611	210	3	10	2007	2016	10	1	1	1	1	2	1	0	1
449	ZWAP234	217054	198920	950	3	5	2008	2012	5	1	1	1	1	2	1	0	1
450	ZWAP300	213086	204149	630	3	NA	NA	0	0	1	1	1	1	8	1	0	8
451	ZWAP301	213467	203688	630	3	NA	NA	0	0	1	1	1	1	8	1	0	8
452	ZWAP302	213465	203911	630	3	NA	NA	0	0	1	1	1	1	8	1	0	8
453	ZWAP303	213435	204022	630	3	NA	NA	0	0	1	1	1	1	8	1	0	8
454	ZWAP305	214503	203705	630	3	NA	NA	0	0	1	1	1	1	8	1	0	8
455	ZWAP306	215123	203590	630	3	NA	NA	0	0	1	1	1	1	8	1	0	8
456	ZWAP307	215592	203278	630	3	NA	NA	0	0	1	1	1	1	8	1	0	8
457	ZWAP308	215833	205216	630	3	NA	NA	0	0	1	1	1	1	8	1	0	8
458	ZWAP312	206556	189180	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
459	ZWAP314	206573	189182	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
460	ZWAP315	206579	189184	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
461	ZWAP316	206585	189185	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
462	ZWAP317	206596	189187	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
463	ZWAP332	208201	190059	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
464	ZWAP335	208176	190160	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
465	ZWAP337	208142	190258	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
466	ZWBP013	107282	173439	89	4	NA	NA	0	0	1	1	1	1	5	1	0	5
467	ZWBP014	107312	173473	89	4	NA	NA	0	0	1	1	1	1	5	1	0	5
468	ZWBP017	107421	173519	89	4	NA	NA	0	0	1	1	1	1	5	1	0	5
469	ZWIP007	77881	227284	309	5	10	2004	2013	10	1	1	1	1	6	1	0	1
470	ZWIP014	78202	228291	309	5	9	2004	2012	9	1	1	1	1	6	1	0	1
471	ZWIP033	77640	228329	309	5	11	2005	2015	11	1	1	1	1	6	1	0	2
472	ZWIP036	78175	228584	309	5	11	2005	2015	10	1	1	1	1	6	1	0	2
473	ZWIP041	77028	227941	309	5	11	2005	2015	10	1	1	1	1	6	1	0	2
474	ZWIP042	79233	228121	309	5	11	2005	2015	11	1	1	1	1	6	1	0	2
475	ZWIP104	75551	226763	53	5	NA	NA	0	0	1	1	1	1	2	1	0	2
476	ZWIP108	75653	226501	53	5	NA	NA	0	0	1	1	1	1	2	1	0	2
477	ZWIP204	79694	228868	565	1	NA	NA	0	0	1	1	1	1	7	1	0	7
478	ZWIP209	79771	228690	565	1	NA	NA	0	0	1	1	1	1	7	1	0	7
479	ZWIP210	80185	228761	565	1	NA	NA	0	0	1	1	1	1	7	1	0	7
480	ZWIP213	79544	228488	565	1	NA	NA	0	0	1	1	1	1	7	1	0	7
481	ZWIP217	79750	228352	565	1	NA	NA	0	0	1	1	1	1	7	1	0	7
482	ZWIP218	80145	228399	565	1	NA	NA	0	0	1	1	1	1	7	1	0	7
483	ZWIP220	79710	228136	565	1	NA	NA	0	0	1	1	1	1	7	1	0	7
